scenario,generator,fit_family,n,L_eta,L_alpha,reps,bias_betaSel_1,rmse_betaSel_1,bias_betaSel_2,rmse_betaSel_2,bias_betaSel_3,rmse_betaSel_3,bias_betaOut_1,rmse_betaOut_1,bias_betaOut_2,rmse_betaOut_2,bias_betaOut_3,rmse_betaOut_3,bias_sigmaY,rmse_sigmaY,bias_rho,rmse_rho,bias_etaS,rmse_etaS,bias_etaY,rmse_etaY,bias_alpha,rmse_alpha,bias_nu,rmse_nu,mean_PE_theo,mean_acc_emp,mean_sel_rate,conv_rate,time_sec_avg,source_path,source_dir,source_file,kind
esn_r000_eSm03_eYp03_a04_selHIGH,ESN,ESN,1500,1.5,1.5,200,0.26737300983587,0.866193515102875,-0.0066686496675019,0.0225370680799457,-0.0230735352182241,0.120395001707635,-2.16267447755593,5.13969222226374,-0.0372194336658942,0.441004069791348,0.00602124334633803,0.30413661886501,,,,,,,,,,,,,0.643649071670911,0.644349778979417,0.03569,1,3586.59244,/home/cecilia/Desktop/results_grid/esn_r000_eSm03_eYp03_a04_selHIGH/summary.csv,/home/cecilia/Desktop/results_grid/esn_r000_eSm03_eYp03_a04_selHIGH,summary.csv,scenario
esn_r000_eSm03_eYp03_a04_selMID,ESN,ESN,1500,1.5,1.5,1,-0.25350147619047,0.25350147619047,0.0166830684238535,0.0166830684238535,-0.102889475198785,0.102889475198785,-3.90328970437092,3.90328970437092,-0.13212586743819,0.13212586743819,0.073742419635524,0.073742419635524,,,,,,,,,,,,,0.643649071670911,0.63911376224968,0.0893333333333333,1,433.805,/home/cecilia/Desktop/results_grid/esn_r000_eSm03_eYp03_a04_selMID/summary.csv,/home/cecilia/Desktop/results_grid/esn_r000_eSm03_eYp03_a04_selMID,summary.csv,scenario
esn_r000_eSm06_eYp06_a04_selHIGH,ESN,ESN,1500,1.5,1.5,200,-0.0827266720845707,0.835080641870501,-0.00373133035839916,0.0243921305183654,0.032494310348623,0.367754227873102,-0.796863890119853,6.58083518989863,-0.0108713995839245,0.557078733537844,0.00267965278156919,0.384776592700694,,,,,,,,,,,,,0.619815834972399,0.620619067220205,0.02205,1,2995.287515,/home/cecilia/Desktop/results_grid/esn_r000_eSm06_eYp06_a04_selHIGH/summary.csv,/home/cecilia/Desktop/results_grid/esn_r000_eSm06_eYp06_a04_selHIGH,summary.csv,scenario
esn_r000_eSm06_eYp06_a04_selLOW,ESN,ESN,1500,1.5,1.5,200,-0.348644393472878,0.83483075596496,-0.00226454863741617,0.0125777847255755,-0.0130482444376287,0.0793377964678939,-0.98837789001319,2.4593090981451,-0.000294337408790253,0.168938813587925,0.00536462558218389,0.127268586616204,,,,,,,,,,,,,0.619815834972399,0.620619067220205,0.171426666666667,1,2153.115515,/home/cecilia/Desktop/results_grid/esn_r000_eSm06_eYp06_a04_selLOW/summary.csv,/home/cecilia/Desktop/results_grid/esn_r000_eSm06_eYp06_a04_selLOW,summary.csv,scenario
esn_r000_eSm06_eYp06_a04_selMID,ESN,ESN,1500,1.5,1.5,200,-0.157575577445459,0.818933664900556,-0.00252228426326211,0.0165883417707656,-0.00855409231855947,0.0924798092228055,-0.983148942729754,2.99327102090728,-0.0125523462541978,0.271933875882195,-0.0111183042406358,0.201272834126279,,,,,,,,,,,,,0.619815834972399,0.620619067220205,0.06921,1,2284.12112,/home/cecilia/Desktop/results_grid/esn_r000_eSm06_eYp06_a04_selMID/summary.csv,/home/cecilia/Desktop/results_grid/esn_r000_eSm06_eYp06_a04_selMID,summary.csv,scenario
esn_r000_eSm10_eYp10_a04_selHIGH,ESN,ESN,1500,1.5,1.5,200,-0.298024556684646,0.710095806055019,-0.00192540840124095,0.0293405932656753,0.0171773569603625,0.157037383279529,-1.55580068242845,7.48631449626563,-0.0197267081150713,0.674120545918345,-0.0117825084331911,0.478471446580607,,,,,,,,,,,,,0.591319334307412,0.591870727404061,0.0129533333333333,1,2681.600995,/home/cecilia/Desktop/results_grid/esn_r000_eSm10_eYp10_a04_selHIGH/summary.csv,/home/cecilia/Desktop/results_grid/esn_r000_eSm10_eYp10_a04_selHIGH,summary.csv,scenario
esn_r000_eSm10_eYp10_a04_selLOW,ESN,ESN,1500,1.5,1.5,200,-0.503124992773078,0.863534529943296,0.00121032555849984,0.0137874921947629,0.00626688947769047,0.0788341565340217,-1.16169976437931,2.31796611239661,0.00164966379779154,0.170337014231492,-0.00695480048569302,0.126255806070263,,,,,,,,,,,,,0.591319334307412,0.591870727404061,0.134803333333333,1,2182.027445,/home/cecilia/Desktop/results_grid/esn_r000_eSm10_eYp10_a04_selLOW/summary.csv,/home/cecilia/Desktop/results_grid/esn_r000_eSm10_eYp10_a04_selLOW,summary.csv,scenario
esn_r000_eSm10_eYp10_a04_selMID,ESN,ESN,1500,1.5,1.5,200,-0.516475907324748,0.840793974812547,0.000423832568996305,0.0175464844122359,0.0184273054445613,0.101288365844505,-0.795665058061037,3.3714642935635,0.00880007077249553,0.298669008234462,-0.0091179569848998,0.223089232256261,,,,,,,,,,,,,0.591319334307412,0.591870727404061,0.0478366666666667,1,2288.16274,/home/cecilia/Desktop/results_grid/esn_r000_eSm10_eYp10_a04_selMID/summary.csv,/home/cecilia/Desktop/results_grid/esn_r000_eSm10_eYp10_a04_selMID,summary.csv,scenario
esn_r000_eSp03_eYm03_a04_selHIGH,ESN,ESN,1500,1.5,1.5,200,0.0822967773056188,0.610360849353066,-0.00331897708591532,0.0168043925507401,-0.0343321159715536,0.109957672896902,-0.799083616348733,4.37339213146924,-0.000292330524779681,0.275338498534381,0.00674776152421728,0.206203939757227,,,,,,,,,,,,,0.643649071670911,0.643678156623097,0.0704166666666667,1,2111.49347,/home/cecilia/Desktop/results_grid/esn_r000_eSp03_eYm03_a04_selHIGH/summary.csv,/home/cecilia/Desktop/results_grid/esn_r000_eSp03_eYm03_a04_selHIGH,summary.csv,scenario
esn_r000_eSp03_eYm03_a04_selLOW,ESN,ESN,1500,1.5,1.5,200,-0.29980642284913,0.657104051719083,-0.00520684766835307,0.0129910995521681,-0.027439319647674,0.0655157465329475,-1.59331709657806,2.39610351238925,0.00644982963919911,0.133500271936044,0.00121010435328873,0.0972668392039962,,,,,,,,,,,,,0.643649071670911,0.643678156623097,0.31923,1,1910.56385,/home/cecilia/Desktop/results_grid/esn_r000_eSp03_eYm03_a04_selLOW/summary.csv,/home/cecilia/Desktop/results_grid/esn_r000_eSp03_eYm03_a04_selLOW,summary.csv,scenario
