scenario_index,scenario,experiment,family,n,reps,selection_level,betaSel_raw,betaSel_identified,betaOut,sigmaS_raw,sigmaY,rho,etaS_raw,etaY_raw,etaS_identified,etaY_identified,tau_bar,alpha_legacy,nu,L_eta,L_tau
1,grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,1.5,1.5
2,grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
3,grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE,grid_n1500,ESN,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,1.5,1.5
4,grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
5,grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selRARE,grid_n1500,ESN,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,1.5,1.5
6,grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
7,grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON,grid_n1500,ESN,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,1.5,1.5
8,grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,1.5,1.5
9,grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,1.5,1.5
10,grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE_nu6,grid_n1500,EST,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,1.5,1.5
11,grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selRARE,grid_n1500,ESN,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,1.5,1.5
12,grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selRARE_nu6,grid_n1500,EST,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,1.5,1.5
13,grid_n1500_esn_r000_etaSrawm10_etaYrawp10_tau04_selCOMMON,grid_n1500,ESN,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-1,1,-1,1,0.4,0.4,NA,1.5,1.5
