scenario,experiment,family,rep,n,selection_level,n_selected,selection_rate,hidden_acceptance_rate,PE_theoretical,acceptance_gap,logLik,AIC,BIC,k_params,finite_fit,regular_convergence,convergence,start_id,seconds,sigmaS_true_raw,sigmaY_true,rho_true,etaS_raw_true,etaY_raw_true,etaS_true,etaY_true,tau_bar_true,alpha_legacy_true,nu_true,sigmaY_hat,rho_hat,etaS_hat,etaY_hat,tau_bar_hat,alpha_legacy_hat,nu_hat,betaSel_1_true,betaSel_1_hat,betaSel_1_bias,betaSel_2_true,betaSel_2_hat,betaSel_2_bias,betaSel_3_true,betaSel_3_hat,betaSel_3_bias,betaOut_1_true,betaOut_1_hat,betaOut_1_bias,betaOut_2_true,betaOut_2_hat,betaOut_2_bias,betaOut_3_true,betaOut_3_hat,betaOut_3_bias,sigmaY_bias,rho_bias,etaS_bias,etaY_bias,tau_bar_bias,alpha_legacy_bias,nu_bias,error,message,start_values
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,1,1500,COMMON,348,0.232,0.635593220338983,0.6373279667051683,-0.00173474636618531,-1725.5942255617615,3475.1884511235235,3538.947095768607,12,TRUE,TRUE,0,13,34633.872,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.4639359252171897,0.08929553457620452,1.4925821305300957,1.4925821305300957,1.335084121399561,1.335084121399561,4,-0.75,-1.21334849531867,-0.4633484953186699,0.0375,0.04849869034493399,0.01099869034493399,0.25,0.26919245422926863,0.01919245422926863,5,5.042852688645566,0.04285268864556624,1.5,1.407902026622329,-0.092097973377671,0.8,0.6981565460297948,-0.10184345397020522,-0.5360640747828103,0.08929553457620452,1.7925821305300955,1.1925821305300957,0.935084121399561,0.935084121399561,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1725.600727;1e+12;1e+12;1725.601896;1e+12;1e+12;1725.606409;1e+12;1e+12;1725.600378;1e+12;1e+12;1725.594226;1e+12;1e+12;1725.602436;1e+12;1e+12;1725.599721;1e+12;1e+12;1725.594275;1e+12;1e+12;1725.60246;1e+12;1e+12;1725.602834;1e+12;1e+12;1725.596001;1e+12;1e+12;1725.603308;1e+12;1e+12;1725.599611;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,2,1500,COMMON,348,0.232,0.648508430609598,0.6373279667051683,0.01118046390442961,-1743.9061016295252,3511.8122032590504,3575.570847904134,12,TRUE,TRUE,0,7,41006.973000000005,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,3.2906647773893702,-0.02141040105561303,-1.4925821305300957,0.5997383509683506,1.4918212571031095,1.4918212571031095,4,-0.75,-0.5224378695637625,0.22756213043623752,0.0375,0.03532264889270942,-0.00217735110729057,0.25,0.3190476782549165,0.06904767825491648,5,4.698258712758977,-0.3017412872410228,1.5,1.7117350033463987,0.21173500334639872,0.8,0.734109657644229,-0.06589034235577107,0.29066477738937024,-0.02141040105561303,-1.1925821305300957,0.2997383509683506,1.0918212571031094,1.0918212571031094,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1743.908997;1e+12;1e+12;1743.907074;1e+12;1e+12;1743.906102;1e+12;1e+12;1743.912329;1e+12;1e+12;1745.475251;1e+12;1e+12;1743.907107;1e+12;1e+12;1743.908162;1e+12;1e+12;1745.406415;1e+12;1e+12;1743.910831;1e+12;1e+12;1743.915805;1e+12;1e+12;1745.404555;1e+12;1e+12;1743.907659;1e+12;1e+12;1743.908646;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,3,1500,COMMON,326,0.21733333333333332,0.6374840628984275,0.6373279667051683,1.560961932591809e-4,-1664.4343620845573,3352.8687241691146,3416.6273688141982,12,TRUE,TRUE,0,10,41587.14,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,3.936888672885733,0.6427544682545397,-1.4874454665069938,-0.23800730656910385,1.4892824787372907,1.4892824787372907,4,-0.75,-0.49688499324128427,0.25311500675871573,0.0375,0.02027386309940401,-0.01722613690059598,0.25,0.22567247131986423,-0.02432752868013576,5,4.2980241807749735,-0.7019758192250265,1.5,1.6317734647791795,0.1317734647791795,0.8,0.7049972161531695,-0.0950027838468306,0.9368886728857332,0.6427544682545397,-1.1874454665069938,-0.5380073065691038,1.0892824787372906,1.0892824787372906,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1664.455895;1e+12;1e+12;1664.449904;1e+12;1e+12;1664.440848;1e+12;1e+12;1664.434362;1e+12;1e+12;1664.544556;1e+12;1e+12;1664.444657;1e+12;1e+12;1664.438609;1e+12;1e+12;1664.542765;1e+12;1e+12;1664.549559;1e+12;1e+12;1664.436568;1e+12;1e+12;1664.54128;1e+12;1e+12;1664.443471;1e+12;1e+12;1664.434928;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,4,1500,COMMON,329,0.21933333333333332,0.6423982869379015,0.6373279667051683,0.00507032023273312,-1668.2236125887132,3360.4472251774264,3424.20586982251,12,TRUE,TRUE,0,22,46073.931,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,3.4756687307017766,0.5313629382235965,-1.4925821305300957,-0.07953470592631166,1.477782953195282,1.477782953195282,4,-0.75,-0.5015506493676211,0.24844935063237897,0.0375,0.03175687951152574,-0.00574312048847425,0.25,0.26724953382962197,0.01724953382962196,5,4.449817909403292,-0.5501820905967083,1.5,1.57253236031273,0.07253236031272992,0.8,0.7725319367584776,-0.0274680632415224,0.4756687307017766,0.5313629382235965,-1.1925821305300957,-0.37953470592631167,1.0777829531952818,1.0777829531952818,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1668.227919;1e+12;1e+12;1668.225241;1e+12;1e+12;1668.246293;1e+12;1e+12;1668.225491;1e+12;1e+12;1668.223837;1e+12;1e+12;1668.223889;1e+12;1e+12;1668.229145;1e+12;1e+12;1668.223613;1e+12;1e+12;1668.229343;1e+12;1e+12;1668.225126;1e+12;1e+12;1668.227426;1e+12;1e+12;1668.223908;1e+12;1e+12;1668.24061;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,5,1500,COMMON,324,0.216,0.6331785563528916,0.6373279667051683,-0.00414941035227678,-1652.3605871760674,3328.7211743521348,3392.4798189972184,12,TRUE,TRUE,0,16,51688.187,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,6.18846294704661,0.874360483355955,-1.4925821305300957,-0.8202606204951663,1.4925821305300957,1.4925821305300957,4,-0.75,-0.4910331179952782,0.2589668820047218,0.0375,0.03567139862071164,-0.00182860137928835,0.25,0.19371372278098437,-0.05628627721901563,5,2.620617642929069,-2.379382357070931,1.5,0.9872903939109792,-0.5127096060890207,0.8,0.771689357617991,-0.02831064238200908,3.1884629470466104,0.874360483355955,-1.1925821305300957,-1.1202606204951664,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1652.363565;1e+12;1e+12;1652.360658;1e+12;1e+12;1652.362426;1e+12;1e+12;1652.361231;1e+12;1e+12;1652.361213;1e+12;1e+12;1652.360587;1e+12;1e+12;1652.360587;1e+12;1e+12;1652.361193;1e+12;1e+12;1652.360594;1e+12;1e+12;1652.364851;1e+12;1e+12;Inf;1e+12;1e+12;1652.360609;1e+12;1e+12;1652.362731;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,6,1500,COMMON,325,0.21666666666666667,0.6448839208942391,0.6373279667051683,0.00755595418907073,-1646.1112381601786,3316.222476320357,3379.981120965441,12,TRUE,TRUE,0,7,40078.983,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.562843040472756,0.16513374480525708,1.4266531574791763,1.4925821305300957,1.4925821305300957,1.4925821305300957,4,-0.75,-1.2078378526157816,-0.4578378526157816,0.0375,0.04465826388700459,0.00715826388700459,0.25,0.20004911691905097,-0.04995088308094903,5,4.887357680985079,-0.11264231901492128,1.5,1.501076988623259,0.00107698862325888,0.8,0.725389291757837,-0.07461070824216309,-0.4371569595272442,0.16513374480525708,1.7266531574791764,1.1925821305300957,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1646.111288;1e+12;1e+12;1646.111326;1e+12;1e+12;1646.111238;1e+12;1e+12;1646.657993;1e+12;1e+12;1646.112861;1e+12;1e+12;1646.653571;1e+12;1e+12;1646.653195;1e+12;1e+12;1646.111489;1e+12;1e+12;1646.111795;1e+12;1e+12;1646.654635;1e+12;1e+12;1646.114356;1e+12;1e+12;1646.111378;1e+12;1e+12;1646.111264;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,7,1500,COMMON,327,0.218,0.6432246998284734,0.6373279667051683,0.00589673312330507,-1632.1338905729206,3288.267781145841,3352.026425790925,12,TRUE,TRUE,0,7,43599.172,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,3.36415401317932,0.5425490301386937,-1.4925821305300957,-0.13562070520976294,1.4925821305300957,1.4925821305300957,4,-0.75,-0.5383078623809898,0.21169213761901015,0.0375,0.04994366050827582,0.01244366050827582,0.25,0.3053659018807345,0.05536590188073448,5,4.185812281685884,-0.8141877183141162,1.5,1.4499527869493396,-0.0500472130506604,0.8,0.9666797867107632,0.16667978671076322,0.36415401317931995,0.5425490301386937,-1.1925821305300957,-0.4356207052097629,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1632.137362;1e+12;1e+12;1632.139335;1e+12;1e+12;1632.133891;1e+12;1e+12;1632.135113;1e+12;1e+12;1632.134485;1e+12;1e+12;1632.138921;1e+12;1e+12;1632.147896;1e+12;1e+12;1632.135657;1e+12;1e+12;1632.134662;1e+12;1e+12;1632.137497;1e+12;1e+12;1632.134267;1e+12;1e+12;1632.139089;1e+12;1e+12;1632.134429;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,8,1500,COMMON,346,0.23066666666666663,0.651890482398957,0.6373279667051683,0.01456251569378863,-1734.6346156059726,3493.269231211945,3557.027875857029,12,TRUE,TRUE,0,4,42057.076,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,4.1763751838993075,0.6443098719643509,-1.4925821305300957,-0.658701806288905,1.4656812680068023,1.4656812680068023,4,-0.75,-0.47700951329019114,0.27299048670980886,0.0375,0.01941508426442292,-0.01808491573557707,0.25,0.2588663321981942,0.00886633219819421,5,5.370360461716181,0.37036046171618064,1.5,1.2993347796643708,-0.20066522033562917,0.8,0.5968785955253513,-0.20312140447464877,1.1763751838993075,0.6443098719643509,-1.1925821305300957,-0.958701806288905,1.0656812680068026,1.0656812680068026,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1734.642714;1e+12;1e+12;1734.634616;1e+12;1e+12;1734.638806;1e+12;1e+12;1734.63797;1e+12;1e+12;1734.637456;1e+12;1e+12;1734.64158;1e+12;1e+12;1734.645339;1e+12;1e+12;1734.64658;1e+12;1e+12;1734.641556;1e+12;1e+12;1734.644226;1e+12;1e+12;1734.640755;1e+12;1e+12;1734.642795;1e+12;1e+12;1734.644876;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,9,1500,COMMON,323,0.21533333333333332,0.6410256410256411,0.6373279667051683,0.00369767432047274,-1639.0744200740814,3302.148840148163,3365.9074847932466,12,TRUE,TRUE,0,10,47472.276,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.9453650207620643,0.17024607334458725,-1.4912059941932256,0.16987024737810047,1.4925821305300957,1.4925821305300957,4,-0.75,-0.4631310754224596,0.28686892457754043,0.0375,0.0351570071629104,-0.00234299283708959,0.25,0.16286646451700626,-0.08713353548299374,5,5.301317086945394,0.30131708694539405,1.5,1.5570254772595298,0.05702547725952978,0.8,0.6290939438868162,-0.17090605611318388,-0.0546349792379357,0.17024607334458725,-1.1912059941932256,-0.13012975262189952,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1639.080838;1e+12;1e+12;1639.094063;1e+12;1e+12;1639.077;1e+12;1e+12;1639.07442;1e+12;1e+12;1639.074866;1e+12;1e+12;1639.078743;1e+12;1e+12;1639.09513;1e+12;1e+12;1639.085951;1e+12;1e+12;1639.08328;1e+12;1e+12;1639.074954;1e+12;1e+12;1639.558994;1e+12;1e+12;1639.076739;1e+12;1e+12;1639.089796;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,10,1500,COMMON,334,0.22266666666666668,0.639386189258312,0.6373279667051683,0.00205822255314369,-1704.9214813117185,3433.842962623437,3497.6016072685206,12,TRUE,TRUE,0,37,48842.656,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,3.33836243200985,0.2983581071958283,-1.4925821305300957,0.05877792816481116,1.488221547908778,1.488221547908778,4,-0.75,-0.492564714615247,0.257435285384753,0.0375,0.0359948996394793,-0.00150510036052069,0.25,0.2516683394667498,0.00166833946674982,5,4.840285592627218,-0.15971440737278186,1.5,1.4451319536897982,-0.05486804631020181,0.8,0.946588880444593,0.14658888044459295,0.33836243200985017,0.2983581071958283,-1.1925821305300957,-0.2412220718351888,1.0882215479087782,1.0882215479087782,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1704.92283;1e+12;1e+12;1704.924754;1e+12;1e+12;1704.930584;1e+12;1e+12;1704.938856;1e+12;1e+12;1704.921543;1e+12;1e+12;1704.922385;1e+12;1e+12;1704.923111;1e+12;1e+12;1704.922992;1e+12;1e+12;1704.940287;1e+12;1e+12;1704.932833;1e+12;1e+12;Inf;1e+12;1e+12;1704.94114;1e+12;1e+12;1704.921481;1e+12;1e+12
