scenario,experiment,family,rep,n,selection_level,n_selected,selection_rate,hidden_acceptance_rate,PE_theoretical,acceptance_gap,logLik,AIC,BIC,k_params,finite_fit,regular_convergence,convergence,start_id,seconds,sigmaS_true_raw,sigmaY_true,rho_true,etaS_raw_true,etaY_raw_true,etaS_true,etaY_true,tau_bar_true,alpha_legacy_true,nu_true,sigmaY_hat,rho_hat,etaS_hat,etaY_hat,tau_bar_hat,alpha_legacy_hat,nu_hat,betaSel_1_true,betaSel_1_hat,betaSel_1_bias,betaSel_2_true,betaSel_2_hat,betaSel_2_bias,betaSel_3_true,betaSel_3_hat,betaSel_3_bias,betaOut_1_true,betaOut_1_hat,betaOut_1_bias,betaOut_2_true,betaOut_2_hat,betaOut_2_bias,betaOut_3_true,betaOut_3_hat,betaOut_3_bias,sigmaY_bias,rho_bias,etaS_bias,etaY_bias,tau_bar_bias,alpha_legacy_bias,nu_bias,error,message,start_values
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,1,1500,MODERATE,154,0.10266666666666668,0.6162695152013147,0.6373279667051683,-0.02105845150385366,-922.8463766914648,1869.6927533829296,1933.4513980280135,12,TRUE,TRUE,0,22,60100.045000000006,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,7.697826317588106,0.9370244470041408,-1.4925821305300957,-1.0027716228789796,1.4687658084419442,1.4687658084419442,4,-1.25,-0.9318757147088458,0.3181242852911542,0.0375,0.0512842690398785,0.01378426903987849,0.25,0.15411336067837922,-0.09588663932162078,5,-0.794854612688966,-5.794854612688966,1.5,1.281484780940899,-0.21851521905910132,0.8,0.6355312601960414,-0.1644687398039586,4.697826317588106,0.9370244470041408,-1.1925821305300957,-1.3027716228789796,1.068765808441944,1.068765808441944,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,922.847552;1e+12;1e+12;922.855922;1e+12;1e+12;922.848894;1e+12;1e+12;922.848009;1e+12;1e+12;922.847222;1e+12;1e+12;922.850605;1e+12;1e+12;922.85221;1e+12;1e+12;922.846377;1e+12;1e+12;Inf;1e+12;1e+12;922.850771;1e+12;1e+12;922.887063;1e+12;1e+12;922.849628;1e+12;1e+12;922.882167;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,2,1500,MODERATE,170,0.11333333333333331,0.6323777403035413,0.6373279667051683,-0.00495022640162701,-976.9388604169848,1977.8777208339695,2041.6363654790532,12,TRUE,TRUE,0,34,41405.235,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,3.0664325206062055,0.5426351597343488,0.1443892611375614,-1.4925821305300957,1.4925821305300957,1.4925821305300957,4,-1.25,-1.5233569305056214,-0.2733569305056214,0.0375,0.08190946551214108,0.04440946551214108,0.25,0.16370130269620722,-0.08629869730379278,5,3.607819903326056,-1.3921800966739442,1.5,1.7296559814563228,0.2296559814563228,0.8,0.6897879525190559,-0.11021204748094417,0.06643252060620553,0.5426351597343488,0.4443892611375614,-1.7925821305300955,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,976.938973;1e+12;1e+12;976.938869;1e+12;1e+12;976.938976;1e+12;1e+12;976.940995;1e+12;1e+12;976.938944;1e+12;1e+12;976.938954;1e+12;1e+12;977.224988;1e+12;1e+12;976.942382;1e+12;1e+12;976.938874;1e+12;1e+12;977.221431;1e+12;1e+12;976.938872;1e+12;1e+12;976.93886;1e+12;1e+12;976.93953;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,3,1500,MODERATE,188,0.12533333333333332,0.6421232876712328,0.6373279667051683,0.00479532096606449,-1081.5490534728806,2187.098106945761,2250.856751590845,12,TRUE,TRUE,0,19,41039.793000000005,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,4.518870860550603,-0.7324648654691277,-1.4925821305300957,0.39831470836603977,1.492500561119753,1.492500561119753,4,-1.25,-0.8431734130217629,0.4068265869782371,0.0375,0.02955095574834554,-0.00794904425165445,0.25,0.2938252426260449,0.04382524262604492,5,8.642350864520303,3.642350864520303,1.5,1.058314536880928,-0.44168546311907186,0.8,0.6153405280254066,-0.18465947197459345,1.518870860550603,-0.7324648654691277,-1.1925821305300957,0.09831470836603978,1.0925005611197531,1.0925005611197531,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1081.557217;1e+12;1e+12;1081.549496;1e+12;1e+12;1081.624087;1e+12;1e+12;1081.557951;1e+12;1e+12;1081.742887;1e+12;1e+12;1081.552061;1e+12;1e+12;1081.549053;1e+12;1e+12;1081.625889;1e+12;1e+12;1081.743688;1e+12;1e+12;1081.552233;1e+12;1e+12;1081.747824;1e+12;1e+12;1081.549651;1e+12;1e+12;1081.554826;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,4,1500,MODERATE,166,0.11066666666666666,0.6361323155216285,0.6373279667051683,-0.00119565118353981,-981.2783992246872,1986.5567984493744,2050.3154430944583,12,TRUE,TRUE,0,34,35302.368,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.5437114936709864,0.2904007030837,1.2472468629820592,-1.4925821305300957,1.4925821305300957,1.4925821305300957,4,-1.25,-1.7875523345569286,-0.5375523345569286,0.0375,0.04598452026924717,0.00848452026924716,0.25,0.23947377441826903,-0.01052622558173094,5,4.2746962388842435,-0.7253037611157565,1.5,1.0456273970531875,-0.45437260294681225,0.8,0.8041940701820635,0.00419407018206341,-0.4562885063290136,0.2904007030837,1.5472468629820593,-1.7925821305300955,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,981.279591;1e+12;1e+12;981.279638;1e+12;1e+12;981.27874;1e+12;1e+12;981.296114;1e+12;1e+12;981.294449;1e+12;1e+12;981.286074;1e+12;1e+12;981.293726;1e+12;1e+12;981.29764;1e+12;1e+12;981.29605;1e+12;1e+12;981.27873;1e+12;1e+12;981.292377;1e+12;1e+12;981.278399;1e+12;1e+12;981.278433;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,5,1500,MODERATE,148,0.09866666666666668,0.6334459459459459,0.6373279667051683,-0.00388202075922239,-886.0810370944627,1796.162074188925,1859.920718834009,12,TRUE,TRUE,0,1,43490.069,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,4.550598881591647,0.807588653219369,-1.4925821305300957,-0.31917889932320864,1.4925821305300957,1.4925821305300957,4,-1.25,-0.8248954851183129,0.4251045148816871,0.0375,0.01683560258563929,-0.02066439741436071,0.25,0.06852084255910844,-0.18147915744089155,5,2.2957611105541145,-2.7042388894458855,1.5,0.8187496746444191,-0.6812503253555809,0.8,0.8922987613387816,0.09229876133878157,1.5505988815916467,0.807588653219369,-1.1925821305300957,-0.6191788993232086,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,886.081037;1e+12;1e+12;886.085497;1e+12;1e+12;886.081747;1e+12;1e+12;886.083515;1e+12;1e+12;886.117956;1e+12;1e+12;886.084777;1e+12;1e+12;886.087869;1e+12;1e+12;886.118256;1e+12;1e+12;886.121032;1e+12;1e+12;886.083837;1e+12;1e+12;886.118428;1e+12;1e+12;886.083588;1e+12;1e+12;886.081278;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,6,1500,MODERATE,170,0.11333333333333331,0.6404782237403929,0.6373279667051683,0.00315025703522453,-975.979037485506,1975.958074971012,2039.716719616096,12,TRUE,TRUE,0,28,44248.593,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,5.4665535451630225,0.8597323382390489,-1.4611425958026605,-1.249441187879715,-0.38616838284408783,-0.38616838284408783,4,-1.25,-0.5787353602270975,0.6712646397729025,0.0375,0.04536911566945087,0.00786911566945087,0.25,0.222721862952439,-0.02727813704756099,5,4.708949276063332,-0.2910507239366682,1.5,1.353890863569792,-0.14610913643020806,0.8,0.9696007700204572,0.16960077002045704,2.4665535451630225,0.8597323382390489,-1.1611425958026604,-1.549441187879715,-0.7861683828440879,-0.7861683828440879,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,975.98054;1e+12;1e+12;975.993085;1e+12;1e+12;975.991295;1e+12;1e+12;975.985256;1e+12;1e+12;975.990642;1e+12;1e+12;975.990839;1e+12;1e+12;975.995722;1e+12;1e+12;975.993121;1e+12;1e+12;975.988429;1e+12;1e+12;975.979037;1e+12;1e+12;975.989252;1e+12;1e+12;975.991945;1e+12;1e+12;975.988321;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,7,1500,MODERATE,178,0.11866666666666668,0.6443298969072165,0.6373279667051683,0.0070019302020482,-1044.027620800472,2112.055241600944,2175.813886246028,12,TRUE,TRUE,0,31,34677.454,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.6965377580523806,0.20429300591302,0.9312056926763612,1.4925821305300957,1.4925821305300957,1.4925821305300957,4,-1.25,-1.66122187643924,-0.4112218764392399,0.0375,0.02434248743112197,-0.01315751256887802,0.25,0.21717028095106788,-0.03282971904893211,5,3.666019696111313,-1.333980303888687,1.5,1.7388190443704823,0.23881904437048251,0.8,0.8414597351364846,0.0414597351364846,-0.3034622419476194,0.20429300591302,1.2312056926763613,1.1925821305300957,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1044.030647;1e+12;1e+12;1044.028831;1e+12;1e+12;1044.028288;1e+12;1e+12;1044.029316;1e+12;1e+12;1044.034651;1e+12;1e+12;1044.029059;1e+12;1e+12;1044.028939;1e+12;1e+12;1044.030047;1e+12;1e+12;1044.03021;1e+12;1e+12;1044.028612;1e+12;1e+12;1044.027621;1e+12;1e+12;1044.029776;1e+12;1e+12;1044.031959;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,8,1500,MODERATE,158,0.10533333333333332,0.6457167455876023,0.6373279667051683,0.00838877888243394,-901.836588934744,1827.673177869488,1891.4318225145716,12,TRUE,TRUE,0,16,48354.619,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.4973233669342214,-0.1326126902247948,-1.4925821305300957,-0.48709658872837247,1.4925821305300957,1.4925821305300957,4,-1.25,-0.9463589142719372,0.3036410857280627,0.0375,0.02779218014073354,-0.00970781985926646,0.25,0.3007712521636969,0.05077125216369688,5,8.084022769761004,3.0840227697610043,1.5,1.5461774394522778,0.04617743945227781,0.8,0.6494197406521977,-0.1505802593478024,-0.5026766330657786,-0.1326126902247948,-1.1925821305300957,-0.7870965887283725,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,901.841095;1e+12;1e+12;901.839379;1e+12;1e+12;901.837313;1e+12;1e+12;901.841978;1e+12;1e+12;901.83878;1e+12;1e+12;901.836589;1e+12;1e+12;901.839467;1e+12;1e+12;901.842708;1e+12;1e+12;901.842689;1e+12;1e+12;901.838647;1e+12;1e+12;901.839895;1e+12;1e+12;901.839537;1e+12;1e+12;901.838499;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,9,1500,MODERATE,161,0.10733333333333334,0.6388415672913118,0.6373279667051683,0.00151360058614347,-949.5647509187507,1923.1295018375015,1986.8881464825856,12,TRUE,TRUE,0,19,39988.819,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.7542100163412253,0.10851561736496612,0.6582049342255794,1.4925821305300957,1.4925821305300957,1.4925821305300957,4,-1.25,-1.7089665479560403,-0.4589665479560403,0.0375,0.09381308901141844,0.05631308901141845,0.25,0.17068588489078018,-0.07931411510921982,5,4.424127682758433,-0.5758723172415667,1.5,1.370698034389416,-0.12930196561058405,0.8,0.810604252306371,0.01060425230637096,-0.2457899836587747,0.10851561736496612,0.9582049342255794,1.1925821305300957,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,949.565236;1e+12;1e+12;949.564753;1e+12;1e+12;949.565943;1e+12;1e+12;949.567005;1e+12;1e+12;949.564848;1e+12;1e+12;949.568472;1e+12;1e+12;949.564751;1e+12;1e+12;949.564959;1e+12;1e+12;949.564826;1e+12;1e+12;949.564865;1e+12;1e+12;949.567543;1e+12;1e+12;949.56476;1e+12;1e+12;949.564824;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,10,1500,MODERATE,170,0.11333333333333331,0.648508430609598,0.6373279667051683,0.01118046390442961,-1019.7483989506012,2063.4967979012026,2127.255442546286,12,TRUE,TRUE,0,4,47196.525,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,6.656560047538332,0.8828277796046312,-1.4925821305300957,-0.41876065561146014,1.4925821305300957,1.4925821305300957,4,-1.25,-0.7929165971890801,0.45708340281091986,0.0375,0.00904392755957203,-0.02845607244042796,0.25,0.1314880973512828,-0.1185119026487172,5,0.6147976882649222,-4.385202311735078,1.5,1.3994318014941765,-0.10056819850582356,0.8,0.7066732368294488,-0.09332676317055122,3.656560047538332,0.8828277796046312,-1.1925821305300957,-0.7187606556114601,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1019.748456;1e+12;1e+12;1019.748399;1e+12;1e+12;1019.968102;1e+12;1e+12;1019.748555;1e+12;1e+12;1019.971943;1e+12;1e+12;1019.748408;1e+12;1e+12;1019.748874;1e+12;1e+12;1019.969297;1e+12;1e+12;1019.968287;1e+12;1e+12;1019.967527;1e+12;1e+12;1019.969983;1e+12;1e+12;Inf;1e+12;1e+12;1019.748725;1e+12;1e+12
