scenario,experiment,family,rep,n,selection_level,n_selected,selection_rate,hidden_acceptance_rate,PE_theoretical,acceptance_gap,logLik,AIC,BIC,k_params,finite_fit,regular_convergence,convergence,start_id,seconds,sigmaS_true_raw,sigmaY_true,rho_true,etaS_raw_true,etaY_raw_true,etaS_true,etaY_true,tau_bar_true,alpha_legacy_true,nu_true,sigmaY_hat,rho_hat,etaS_hat,etaY_hat,tau_bar_hat,alpha_legacy_hat,nu_hat,betaSel_1_true,betaSel_1_hat,betaSel_1_bias,betaSel_2_true,betaSel_2_hat,betaSel_2_bias,betaSel_3_true,betaSel_3_hat,betaSel_3_bias,betaOut_1_true,betaOut_1_hat,betaOut_1_bias,betaOut_2_true,betaOut_2_hat,betaOut_2_bias,betaOut_3_true,betaOut_3_hat,betaOut_3_bias,sigmaY_bias,rho_bias,etaS_bias,etaY_bias,tau_bar_bias,alpha_legacy_bias,nu_bias,error,message,start_values
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,1,1500,RARE,72,0.048,0.6183017312448474,0.6373279667051683,-0.01902623546032089,-487.6929773501483,999.3859547002966,1063.14459934538,12,TRUE,TRUE,0,28,48238.035,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.571910188126055,0.28841612852182397,0.16270763896257695,-1.4925821305300957,1.4925821305300957,1.4925821305300957,4,-1.75,-2.36033962173524,-0.6103396217352399,0.0375,-0.01518947112896942,-0.05268947112896942,0.25,0.4407509829146022,0.19075098291460213,5,5.934821808692397,0.934821808692397,1.5,1.8195141523127352,0.3195141523127354,0.8,0.22013744052066053,-0.5798625594793395,-0.4280898118739449,0.28841612852182397,0.46270763896257694,-1.7925821305300955,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,487.694638;1e+12;1e+12;487.694438;1e+12;1e+12;487.694783;1e+12;1e+12;487.693151;1e+12;1e+12;487.693075;1e+12;1e+12;487.693191;1e+12;1e+12;487.693749;1e+12;1e+12;487.693089;1e+12;1e+12;487.694351;1e+12;1e+12;487.692977;1e+12;1e+12;487.695487;1e+12;1e+12;487.694551;1e+12;1e+12;487.69393;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,2,1500,RARE,67,0.04466666666666667,0.6561679790026247,0.6373279667051683,0.01884001229745635,-457.5031878631048,939.0063757262096,1002.7650203712932,12,TRUE,TRUE,0,4,42062.621,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,3.211110794172754,-0.5097387432491486,-0.23876054349851,1.4925821305300957,1.334731895437179,1.334731895437179,4,-1.75,-2.5397017593087248,-0.7897017593087248,0.0375,0.02228658875119473,-0.01521341124880526,0.25,0.7989589446909419,0.5489589446909419,5,8.535898977410158,3.5358989774101577,1.5,1.7740363958160807,0.27403639581608075,0.8,0.7553698594462712,-0.04463014055372882,0.2111107941727539,-0.5097387432491486,0.06123945650148998,1.1925821305300957,0.9347318954371788,0.9347318954371788,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,457.503342;1e+12;1e+12;457.503188;1e+12;1e+12;457.50364;1e+12;1e+12;457.508856;1e+12;1e+12;457.51115;1e+12;1e+12;457.508301;1e+12;1e+12;457.504027;1e+12;1e+12;457.503856;1e+12;1e+12;457.503858;1e+12;1e+12;457.503341;1e+12;1e+12;457.503593;1e+12;1e+12;457.503478;1e+12;1e+12;457.514577;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,3,1500,RARE,73,0.04866666666666666,0.6410256410256411,0.6373279667051683,0.00369767432047274,-477.6494819349574,979.2989638699148,1043.0576085149985,12,TRUE,TRUE,0,28,43201.184,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.5900635444767,-0.2011694729509059,-1.4892344988900583,0.8680715435708721,1.4925821305300957,1.4925821305300957,4,-1.75,-1.3101717855624648,0.4398282144375352,0.0375,0.060569205363888,0.023069205363888,0.25,0.15881025878026184,-0.09118974121973816,5,3.9949304214845633,-1.0050695785154369,1.5,1.3065135645907269,-0.19348643540927313,0.8,0.5143241878014532,-0.2856758121985469,-0.4099364555233001,-0.2011694729509059,-1.1892344988900585,0.5680715435708721,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,477.677569;1e+12;1e+12;477.674934;1e+12;1e+12;477.676739;1e+12;1e+12;477.675277;1e+12;1e+12;477.676793;1e+12;1e+12;477.674757;1e+12;1e+12;477.674587;1e+12;1e+12;477.676356;1e+12;1e+12;477.676333;1e+12;1e+12;477.649482;1e+12;1e+12;477.676482;1e+12;1e+12;477.674824;1e+12;1e+12;Inf;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,4,1500,RARE,88,0.05866666666666666,0.6435006435006435,0.6373279667051683,0.00617267679547517,-578.0384671256492,1180.0769342512983,1243.835578896382,12,TRUE,TRUE,0,25,27116.236,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.7778631371653377,0.25885893618517974,0.07007162184193166,1.4925821305300957,1.3606475801777955,1.3606475801777955,4,-1.75,-2.126721952379068,-0.3767219523790679,0.0375,0.08175702646922538,0.04425702646922538,0.25,0.2709893469090058,0.02098934690900578,5,1.163305336502983,-3.836694663497017,1.5,1.6722199353541702,0.17221993535417024,0.8,1.0882879545988675,0.28828795459886747,-0.22213686283466227,0.25885893618517974,0.37007162184193165,1.1925821305300957,0.9606475801777956,0.9606475801777956,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,578.04123;1e+12;1e+12;578.041381;1e+12;1e+12;578.041772;1e+12;1e+12;578.042105;1e+12;1e+12;578.040124;1e+12;1e+12;578.041646;1e+12;1e+12;578.041813;1e+12;1e+12;578.040126;1e+12;1e+12;578.038467;1e+12;1e+12;578.041688;1e+12;1e+12;578.05943;1e+12;1e+12;578.041602;1e+12;1e+12;578.040913;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,5,1500,RARE,60,0.04,0.6294586655476291,0.6373279667051683,-0.00786930115753925,-427.610674515022,879.2213490300439,942.9799936751276,12,TRUE,TRUE,0,25,37055.19300000001,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.7741571689175637,0.19148819680995297,0.23769220856104145,1.4925821305300957,1.4925821305300957,1.4925821305300957,4,-1.75,-2.37956803869731,-0.6295680386973102,0.0375,0.05609511521927941,0.01859511521927941,0.25,0.10798571138804453,-0.14201428861195547,5,2.3036318123465316,-2.6963681876534684,1.5,2.5872962476148693,1.087296247614869,0.8,0.7827339311332853,-0.01726606886671478,-0.2258428310824363,0.19148819680995297,0.5376922085610414,1.1925821305300957,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,427.610681;1e+12;1e+12;427.611179;1e+12;1e+12;427.610741;1e+12;1e+12;427.610792;1e+12;1e+12;427.610681;1e+12;1e+12;427.61107;1e+12;1e+12;427.610848;1e+12;1e+12;427.610691;1e+12;1e+12;427.610675;1e+12;1e+12;427.611468;1e+12;1e+12;427.741138;1e+12;1e+12;427.610715;1e+12;1e+12;427.61118;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,6,1500,RARE,87,0.058,0.6234413965087282,0.6373279667051683,-0.01388657019644012,-577.1969057024655,1178.393811404931,1242.1524560500147,12,TRUE,TRUE,0,13,43224.689000000006,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.4023172568704343,-0.41425557797148993,1.4925821305300957,-1.3239871829036756,1.4925821305300957,1.4925821305300957,4,-1.75,-2.6357960743980975,-0.8857960743980975,0.0375,0.02791150300044938,-0.00958849699955061,0.25,0.6227986347662607,0.37279863476626074,5,9.531995755157077,4.531995755157077,1.5,2.1053364733000137,0.6053364733000137,0.8,0.5305685177501913,-0.26943148224980873,-0.5976827431295657,-0.41425557797148993,1.7925821305300955,-1.6239871829036756,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,577.224615;1e+12;1e+12;577.226998;1e+12;1e+12;577.224583;1e+12;1e+12;577.230928;1e+12;1e+12;577.196906;1e+12;1e+12;577.225725;1e+12;1e+12;577.497487;1e+12;1e+12;577.198301;1e+12;1e+12;577.197028;1e+12;1e+12;577.224958;1e+12;1e+12;577.198678;1e+12;1e+12;577.226964;1e+12;1e+12;577.22425;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,7,1500,RARE,63,0.042,0.6404782237403929,0.6373279667051683,0.00315025703522453,-441.0638487131909,906.1276974263818,969.8863420714654,12,TRUE,TRUE,0,4,65787.98,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,6.549263280710542,-0.8907471250200824,-1.4925821305300957,0.8490286649934483,1.4925821305300957,1.4925821305300957,4,-1.75,-1.4395421035760507,0.3104578964239493,0.0375,0.00737177097277733,-0.03012822902722266,0.25,0.31470502648444043,0.06470502648444043,5,12.015257169376092,7.015257169376092,1.5,1.0249739519236296,-0.4750260480763704,0.8,1.2301615270121231,0.4301615270121233,3.5492632807105418,-0.8907471250200824,-1.1925821305300957,0.5490286649934484,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,441.064528;1e+12;1e+12;441.063849;1e+12;1e+12;441.065463;1e+12;1e+12;441.067196;1e+12;1e+12;441.304194;1e+12;1e+12;441.064502;1e+12;1e+12;Inf;1e+12;1e+12;441.303854;1e+12;1e+12;441.305506;1e+12;1e+12;441.068797;1e+12;1e+12;441.307809;1e+12;1e+12;441.064493;1e+12;1e+12;441.063873;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,8,1500,RARE,73,0.04866666666666666,0.6313131313131313,0.6373279667051683,-0.00601483539203706,-506.85418075250544,1037.708361505011,1101.4670061500944,12,TRUE,TRUE,0,4,49056.458,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.820503328793651,-0.31515887989836355,0.4782556305581961,1.4925821305300957,1.4651661543521954,1.4651661543521954,4,-1.75,-2.3234184852612847,-0.5734184852612847,0.0375,0.0516354313475303,0.0141354313475303,0.25,0.17385353198071804,-0.07614646801928196,5,9.42561308619347,4.42561308619347,1.5,1.3481672213659937,-0.15183277863400635,0.8,0.33144779478350633,-0.4685522052164937,-0.17949667120634905,-0.31515887989836355,0.778255630558196,1.1925821305300957,1.0651661543521955,1.0651661543521955,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,506.854942;1e+12;1e+12;506.854181;1e+12;1e+12;506.859423;1e+12;1e+12;506.857804;1e+12;1e+12;506.855486;1e+12;1e+12;506.854244;1e+12;1e+12;506.85619;1e+12;1e+12;506.855769;1e+12;1e+12;506.85428;1e+12;1e+12;506.85639;1e+12;1e+12;506.883187;1e+12;1e+12;506.854944;1e+12;1e+12;506.855509;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,9,1500,RARE,64,0.04266666666666666,0.6507592190889371,0.6373279667051683,0.01343125238376874,-456.2409487777458,936.4818975554916,1000.2405422005752,12,TRUE,TRUE,0,19,41673.694,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,2.2983027812974517,0.2811430441430776,1.4925821305300957,1.0152900836016592,1.4925821305300957,1.4925821305300957,4,-1.75,-2.5783658176198716,-0.8283658176198716,0.0375,-0.04795816697207788,-0.08545816697207788,0.25,0.07959194629257506,-0.17040805370742496,5,3.082577930198843,-1.917422069801157,1.5,1.335009182775756,-0.16499081722424402,0.8,1.507572673313507,0.707572673313507,-0.7016972187025483,0.2811430441430776,1.7925821305300955,0.7152900836016591,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,456.241466;1e+12;1e+12;456.242109;1e+12;1e+12;456.242485;1e+12;1e+12;456.24097;1e+12;1e+12;456.242458;1e+12;1e+12;456.242425;1e+12;1e+12;456.240949;1e+12;1e+12;456.241551;1e+12;1e+12;456.242743;1e+12;1e+12;456.240949;1e+12;1e+12;456.2417;1e+12;1e+12;456.242028;1e+12;1e+12;456.24096;1e+12;1e+12
grid_n1500_est_r000_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,10,1500,RARE,90,0.06,0.6369426751592356,0.6373279667051683,-3.8529154593269777e-4,-604.285801397163,1232.571602794326,1296.3302474394095,12,TRUE,TRUE,0,37,54063.078,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,3.172509856040066,-0.47991058608648446,0.29186348884929003,1.4925821305300957,1.4925821305300957,1.4925821305300957,4,-1.75,-2.1378101652628403,-0.3878101652628403,0.0375,0.02572195666951178,-0.01177804333048821,0.25,0.284839908051503,0.034839908051503,5,9.553943132872863,4.553943132872865,1.5,1.6097840692130505,0.1097840692130505,0.8,0.6275065481145526,-0.1724934518854474,0.17250985604006663,-0.47991058608648446,0.59186348884929,1.1925821305300957,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,604.289544;1e+12;1e+12;604.286458;1e+12;1e+12;604.288206;1e+12;1e+12;604.358194;1e+12;1e+12;604.285964;1e+12;1e+12;604.285846;1e+12;1e+12;604.356404;1e+12;1e+12;604.288316;1e+12;1e+12;604.28594;1e+12;1e+12;604.3575;1e+12;1e+12;604.286035;1e+12;1e+12;604.286246;1e+12;1e+12;604.285801;1e+12;1e+12
