experiment,family,parameter,mean_bias,RMSE,n_converged
grid_n1500,ESN,betaOut_1,0.44770057471024005,3.7386122371126596,700
grid_n1500,ESN,betaOut_2,-0.006063165493537151,0.26882119959748585,700
grid_n1500,ESN,betaOut_3,-0.0031819088984345843,0.2012292283184283,700
grid_n1500,ESN,betaSel_1,-0.20313931076739045,0.5212504667982162,700
grid_n1500,ESN,betaSel_2,-0.002289134566256094,0.01531815634358406,700
grid_n1500,ESN,betaSel_3,-0.015381885919077373,0.09109804460335823,700
grid_n1500,ESN,etaS,0.5366649210785337,1.3208375676588286,700
grid_n1500,ESN,etaY,-0.3962213646856358,1.3775386651003727,700
grid_n1500,ESN,nu,NA,NA,700
grid_n1500,ESN,rho,-0.007466595354446247,0.5040229575915227,700
grid_n1500,ESN,sigmaY,0.9813584123015016,1.5918486758599215,700
grid_n1500,ESN,tau_bar,-0.04036192548520565,1.224143080549277,700
n_sweep,ESN,betaOut_1,0.2767909440794088,2.462926951577114,300
n_sweep,ESN,betaOut_2,-0.0017582422692852197,0.20001896461533095,300
n_sweep,ESN,betaOut_3,0.005232753606361326,0.14605779804934543,300
n_sweep,ESN,betaSel_1,-0.20876367081970998,0.5242766606179876,300
n_sweep,ESN,betaSel_2,-0.0029145657169539585,0.014379714361533173,300
n_sweep,ESN,betaSel_3,-0.023036528645078668,0.09127147372136193,300
n_sweep,ESN,etaS,0.5025134816099983,1.363246804300549,300
n_sweep,ESN,etaY,-0.28093110050696846,1.232294019768241,300
n_sweep,ESN,nu,NA,NA,300
n_sweep,ESN,rho,0.059014072933723905,0.4209542234832919,300
n_sweep,ESN,sigmaY,0.7413631625087668,1.1312171528811235,300
n_sweep,ESN,tau_bar,-0.0683508078812359,1.1885158806449905,300
n_sweep,EST,betaOut_1,0.33949803393778305,1.753905129619922,300
n_sweep,EST,betaOut_2,0.0016222254770067734,0.24039676080118297,300
n_sweep,EST,betaOut_3,-0.00665519020943944,0.17767978662047199,300
n_sweep,EST,betaSel_1,-0.05097399292871903,0.4223007357030739,300
n_sweep,EST,betaSel_2,-8.331189741386007e-4,0.01753219463139968,300
n_sweep,EST,betaSel_3,-0.00486737795160657,0.10770075561131559,300
n_sweep,EST,etaS,-0.07688633878226903,1.312264990318823,300
n_sweep,EST,etaY,0.06509233982591202,0.9358231572471193,300
n_sweep,EST,nu,-2,2,300
n_sweep,EST,rho,0.015240012172334132,0.5148555539694162,300
n_sweep,EST,sigmaY,0.6151392247026033,1.3572094082896293,300
n_sweep,EST,tau_bar,0.8661776237483124,1.0823409954223142,300
