experiment,scenario,family,n,selection_level,reps,finite_fits,converged,finite_fit_rate,conv_rate,valid_for_report,mean_selection_rate,mean_hidden_acceptance,mean_PE_theoretical,mean_acceptance_gap,mean_logLik,mean_AIC,mean_BIC,time_sec_avg,time_sec_sd,time_min_avg,rho_true,etaS_raw_true,etaY_raw_true,etaS_true,etaY_true,tau_bar_true,alpha_legacy_true,nu_true,mean_sigmaY_hat,mean_rho_hat,mean_etaS_hat,mean_etaY_hat,mean_tau_bar_hat,mean_alpha_legacy_hat,mean_nu_hat,bias_betaSel_1,rmse_betaSel_1,bias_betaSel_2,rmse_betaSel_2,bias_betaSel_3,rmse_betaSel_3,bias_betaOut_1,rmse_betaOut_1,bias_betaOut_2,rmse_betaOut_2,bias_betaOut_3,rmse_betaOut_3,bias_sigmaY,rmse_sigmaY,bias_rho,rmse_rho,bias_etaS,rmse_etaS,bias_etaY,rmse_etaY,bias_tau_bar,rmse_tau_bar,bias_alpha_legacy,rmse_alpha_legacy,bias_nu,rmse_nu
grid_n1500,grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,ESN,1500,COMMON,100,100,100,1,1,TRUE,0.21524666666666667,0.6433291512639748,0.6436490716709108,-3.1992040693593375e-4,-1569.015660826023,3160.031321652046,3218.476745910039,33427.7706,10759.697210133272,557.1295100000001,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,3.701015859172804,-0.01728756844943348,0.34947034099002544,0.1785352318666231,0.24694278666095684,0.24694278666095684,NA,-0.1996943876070128,0.5349368251582564,-0.003998852735830677,0.012028680097928006,-0.03475801943112803,0.07059130650555237,0.2654254913925475,2.0249805652013917,-0.007331311888787176,0.1594412909436612,-0.003387213039203367,0.1113390790745704,0.7010158591728042,1.0978068914719752,-0.01728756844943348,0.4206607055848128,0.6494703409900254,1.4353578096622048,-0.1214647681333769,1.2105823832674996,-0.15305721333904315,1.1722273487531853,-0.15305721333904315,1.1722273487531853,NA,NA
grid_n1500,grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE,ESN,1500,MODERATE,100,100,100,1,1,TRUE,0.09914666666666666,0.6427968358963007,0.6436490716709108,-8.522357746101035e-4,-842.4925218021926,1706.9850436043853,1765.4304678623787,40841.73743,11380.396304820475,680.6956238333333,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,3.933677819843999,-0.008512888727183835,0.11555862496508748,0.09812729122087858,0.4890677859755809,0.4890677859755809,NA,-0.13475903178807158,0.48994671288936087,-0.003215630750632765,0.014541318175824906,-0.009975919106686371,0.08995407856101852,0.4950565340328216,2.7837126450291305,-0.020683132344345757,0.224314810643861,-0.011697123169448714,0.17075299031067281,0.9336778198439989,1.363067461694055,-0.008512888727183835,0.4918297072840825,0.4155586249650875,1.2467334597345006,-0.2018727087791214,1.340658703210633,0.08906778597558095,1.1931360384263925,0.08906778597558095,1.1931360384263925,NA,NA
grid_n1500,grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selRARE,ESN,1500,RARE,100,100,100,1,1,TRUE,0.036206666666666665,0.6454186420741372,0.6436490716709108,0.0017695704032264779,-359.4598739275722,740.9197478551444,799.3651721131376,44988.87005,10447.216587042934,749.8145008333333,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,4.433928401814462,0.07633807842900009,0.1606959543496088,-0.09630315359570107,0.02485146674782078,0.02485146674782078,NA,-0.1894248943847661,0.5558516592895929,3.8827353778398413e-4,0.01915984026364316,-0.015898858627167,0.11341022484136093,0.2250728670489402,5.809752897330959,0.0371952737521132,0.40250210160109395,-0.03458009836859688,0.30591856665506056,1.433928401814462,2.1487731397081506,0.07633807842900009,0.5955894393611032,0.4606959543496088,1.2258333506709853,-0.39630315359570106,1.4972931351949677,-0.3751485332521792,1.4169489576305305,-0.3751485332521792,1.4169489576305305,NA,NA
grid_n1500,grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON,ESN,1500,COMMON,100,100,100,1,1,TRUE,0.17094666666666666,0.6203538623578089,0.6198158349723986,5.38027385410356e-4,-1292.3360825611944,2606.672165122389,2665.117589380382,31812.6573,9392.505990248328,530.210955,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,3.520081554684289,0.09751746435798296,0.38671825335912985,0.06576777598546307,0.3239983276768615,0.3239983276768615,NA,-0.4175137761144177,0.6128107009321925,-0.0024225272401050073,0.010913340735337946,-6.008562015599257e-4,0.07117971831445018,0.7427305192344488,2.509005619413011,-0.00957981053017471,0.15809968745221095,0.0034270676314303943,0.12841210873761555,0.520081554684289,0.9244005823915276,0.09751746435798296,0.462874837259587,0.9867182533591299,1.5698807746850107,-0.534232224014537,1.337299701583006,-0.07600167232313855,1.1500408711708723,-0.07600167232313855,1.1500408711708723,NA,NA
grid_n1500,grid_n1500_esn_r030_etaSrawm03_etaYrawp03_tau04_selCOMMON,ESN,1500,COMMON,100,100,100,1,1,TRUE,0.21442,0.6434101447216307,0.6436490716709108,-2.3892694928010915e-4,-1553.9858607918554,3129.971721583711,3188.417145841704,32744.02122,9326.41342191529,545.733687,0.3,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,3.669543318307265,0.2470097842124137,0.21053509301541626,-0.27268031092175465,0.5118089900124975,0.5118089900124975,NA,-0.19580070541449782,0.45763600219575234,-8.865373334291501e-4,0.012101197307972962,-0.029657976098673454,0.07559731783413871,0.7679676754531191,2.1459031974847442,-0.02437344887378757,0.16448520211647247,0.0033750200478527524,0.10429436152727332,0.669543318307265,1.0534607489947068,-0.052990215787586295,0.4132461951889987,0.5105350930154162,1.3002632660492148,-0.5726803109217546,1.3097049936404137,0.11180899001249753,1.1502854591197857,0.11180899001249753,1.1502854591197857,NA,NA
grid_n1500,grid_n1500_esn_r030_etaSrawm03_etaYrawp03_tau04_selMODERATE,ESN,1500,MODERATE,100,100,100,1,1,TRUE,0.09761333333333333,0.6434395421559592,0.6436490716709108,-2.095295149515709e-4,-828.0329917368448,1678.0659834736896,1736.511407731683,36854.70433,12261.945300563453,614.2450721666667,0.3,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,3.898618207906204,0.1790727186807536,0.28071908647609584,-0.06434352550031822,0.4404777026503803,0.4404777026503803,NA,-0.2111232572906639,0.4517874061748349,-0.0029298262672872917,0.01590580385329778,-0.016225686181923497,0.08769543807838748,0.7375988346561777,3.2110926159356183,-0.020734833560048512,0.26904690039720947,-0.009679161719367762,0.17897594696944552,0.8986182079062042,1.317759880317092,-0.12092728131924636,0.5061352604927246,0.5807190864760958,1.3219005090663296,-0.3643435255003182,1.4021497933857938,0.04047770265038026,1.143750544516432,0.04047770265038026,1.143750544516432,NA,NA
grid_n1500,grid_n1500_esn_r030_etaSrawm03_etaYrawp03_tau04_selRARE,ESN,1500,RARE,100,100,100,1,1,TRUE,0.03627333333333333,0.6430108073810138,0.6436490716709108,-6.382642898969561e-4,-358.45478872729404,738.9095774545881,797.3550017125814,45217.09696,9644.098905410106,753.6182826666667,0.3,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,4.712643724381487,0.2735962440153432,-0.14704290560562774,-0.2826528618546415,0.48031946187946256,0.48031946187946256,NA,-0.0736591227723034,0.5269331669046169,-0.0029588411742917514,0.02001869775326418,-5.55885786403329e-4,0.11697534607171203,-0.09994789884637464,5.570152025707935,0.0030651049902704706,0.3790384316198293,0.030268146328291487,0.2981843381928058,1.7126437243814874,2.52125553589152,-0.026403755984656805,0.6029070303671187,0.15295709439437227,1.0919653072981472,-0.5826528618546414,1.5194754074150556,0.08031946187946257,1.3154212666679104,0.08031946187946257,1.3154212666679104,NA,NA
n_sweep,n_sweep_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_n1500,ESN,1500,COMMON,100,100,100,1,1,TRUE,0.21459333333333333,0.6437069579598398,0.6436490716709108,5.788628892903744e-5,-1567.9603460645899,3157.9206921291798,3216.366116387173,32119.10724,10484.386092921479,535.318454,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,3.7638716342073137,0.08807227999247495,0.13262419893484292,-0.11051013855706826,0.4585435265391817,0.4585435265391817,NA,-0.1869076552055399,0.4863163792913843,-0.003761792366871959,0.01218299851317551,-0.017066607735448058,0.07443656641643304,0.24736968143708438,2.2215443195962377,0.009253995496703082,0.167086277289668,0.004632592938635828,0.12449726013451193,0.7638716342073139,1.070181301457157,0.08807227999247495,0.4136629982606112,0.43262419893484294,1.3509411763102077,-0.41051013855706825,1.2956310633870394,0.05854352653918167,1.210194744791923,0.05854352653918167,1.210194744791923,NA,NA
n_sweep,n_sweep_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_n3000,ESN,3000,COMMON,100,100,100,1,1,TRUE,0.21507,0.6423646819603097,0.6436490716709108,-0.0012843897106010452,-3139.7804748727976,6301.560949745595,6367.630992989748,49686.19592,18701.97034170519,828.1032653333333,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,3.3859718783323998,0.08131091703320821,0.22662796550459618,0.040548421828832504,0.24107904183649925,0.24107904183649925,NA,-0.18834586029914954,0.5463137195776084,-0.004054610309787408,0.009049564323786126,-0.024614249888340153,0.05694369567329814,0.38231059836510745,2.027346244209026,0.0018387382711525268,0.11273448863437258,0.005469999465460352,0.07525722119957572,0.3859718783323997,0.587609763275423,0.08131091703320821,0.307343745478062,0.5266279655045962,1.360697214913927,-0.2594515781711675,1.0050740492603307,-0.15892095816350074,1.0919230950861782,-0.15892095816350074,1.0919230950861782,NA,NA
n_sweep,n_sweep_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_n500,ESN,500,COMMON,100,100,100,1,1,TRUE,0.21616,0.6452505055773828,0.6436490716709108,0.0016014339064721022,-522.9868243243895,1067.973648648779,1114.3343377314231,12341.57893,3493.7140265442977,205.69298216666667,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,4.074245974986587,0.00765902177548855,0.24828828039055587,0.12716841520733044,0.29532500798061134,0.29532500798061134,NA,-0.25103749695444055,0.5381781764810261,-9.27294474202509e-4,0.01974863256368579,-0.027428728311447794,0.12731087482617715,0.20069255243603448,3.0253323038264828,-0.016367460575711267,0.2817727269115905,0.0055956684149878,0.2069672051059972,1.0742459749865867,1.5324436332316735,0.00765902177548855,0.5157810783567206,0.5482882803905559,1.3779646496851987,-0.17283158479266952,1.3663132717498292,-0.10467499201938862,1.2573156444312008,-0.10467499201938862,1.2573156444312008,NA,NA
