scenario_label,dgp_family,fit_family,n,reps,finite_fit_rate,conv_rate,n_converged,eligible_for_mean_IC,mean_selection_rate,mean_logLik,mean_AIC,mean_BIC,rmse_betaOut_1,rmse_betaOut_2,rmse_betaOut_3,rmse_sigmaY,rmse_rho,mean_etaS_hat,mean_etaY_hat,mean_tau_bar_hat,mean_nu_hat,mean_seconds,best_AIC,best_AIC_conv_rate,best_BIC,best_BIC_conv_rate
contaminated normal,CN,CN,1000,50,1,1,50,TRUE,0.43782,-1761.6864001555487,3543.3728003110973,3592.4503531009186,0.3303290782242644,0.1466633686078146,0.10925448428478864,0.17184154328125298,0.09152402586881753,NA,NA,NA,NA,170.68074000000001,CN,1,CN,1
contaminated normal,CN,ESN,1000,50,1,1,50,TRUE,0.43782,-1830.9749506844087,3683.9499013688173,3737.935209437621,5.846301322392648,0.17319391491925346,0.13150062915735503,3.1016331689057934,0.19196476250252845,0.7704519426356506,0.47355242145102894,-1.4924066831764389,NA,16850.87468,CN,1,CN,1
contaminated normal,CN,EST,1000,50,1,1,50,TRUE,0.43782,-1769.2431538836975,3562.486307767395,3621.3793711151807,1.4045219625379746,0.14873307306192088,0.11327263095724288,0.6136896919757108,0.1945272919591545,-0.0853007582787831,0.03909472878866959,-0.9415923737588442,4,18354.839620000002,CN,1,CN,1
contaminated normal,CN,HT,1000,50,1,1,50,TRUE,0.43782,-1769.201096092221,3554.402192184442,3593.664234416299,0.35205491833909397,0.1471209332836659,0.11416982984351122,0.32151033895110703,0.09867049160707372,NA,NA,NA,NA,109.2829,CN,1,CN,1
contaminated normal,CN,NH,1000,50,1,1,50,TRUE,0.43782,-1846.6989064386441,3709.3978128772883,3748.6598551091456,1.070126087648324,0.1858400887242918,0.1402320964144591,1.7955069967256365,0.21901807528884157,NA,NA,NA,NA,100.26714,CN,1,CN,1
hidden-truncation skewness,ESN,CN,1000,50,1,1,50,TRUE,0.34086,-1327.2708027767655,2674.541605553531,2723.6191583433524,0.61831350428077,0.12458603523859331,0.11515053070279975,0.20518149394856133,0.18588844870986154,NA,NA,NA,NA,456.54354,HT,1,HT,1
hidden-truncation skewness,ESN,ESN,1000,50,1,1,50,TRUE,0.34086,-1326.326211081448,2674.652422162896,2728.6377302316996,2.0545265059370132,0.12435469021257088,0.11605073815706379,0.6605655325485041,0.2570618448195355,-0.2680558566093039,0.05849212814567927,0.4656656433458506,NA,15342.1057,HT,1,HT,1
hidden-truncation skewness,ESN,EST,1000,50,1,1,50,TRUE,0.34086,-1333.2675497660382,2690.5350995320764,2749.428162879862,1.1854775209668873,0.13050256702032584,0.11556759005701848,0.602545725356276,0.3582737321309433,-1.3166809078844453,-0.5791102122771196,1.4925577336616822,4,17487.16012,HT,1,HT,1
hidden-truncation skewness,ESN,HT,1000,50,1,1,50,TRUE,0.34086,-1327.338466275066,2670.676932550132,2709.9389747819887,0.6225688588105719,0.1250471950680618,0.11500579537380938,0.21099742439834035,0.1854598199284636,NA,NA,NA,NA,127.60268,HT,1,HT,1
hidden-truncation skewness,ESN,NH,1000,50,1,1,50,TRUE,0.34086,-1327.4375880715102,2670.8751761430203,2710.137218374877,0.6128732649157901,0.12460127005520003,0.11509949685322189,0.1856415310003644,0.18766026444836792,NA,NA,NA,NA,82.21016,HT,1,HT,1
nearly Gaussian,NH,CN,1000,50,1,1,50,TRUE,0.4345,-1635.4497306798075,3290.899461359615,3339.9770141494364,0.4204719272055592,0.13360975174094203,0.11014703175665416,0.16896690883807566,0.11188791527508928,NA,NA,NA,NA,432.23838,HT,1,HT,1
