scenario,scenario_label,fit_family,rows,mean_k_correct,mean_observed_gap,mean_expected_gap,max_abs_gap_error
contaminated_normal,contaminated normal,CN,50,10,49.07755278982131,49.07755278982137,5.684341886080802e-14
contaminated_normal,contaminated normal,ESN,50,11,53.98530806880353,53.985308068803505,2.842170943040401e-14
contaminated_normal,contaminated normal,EST,50,12,58.893063347785755,58.89306334778564,1.1368683772161603e-13
contaminated_normal,contaminated normal,HT,50,8,39.26204223185716,39.262042231857095,2.2737367544323206e-13
contaminated_normal,contaminated normal,NH,50,8,39.26204223185707,39.262042231857095,2.2737367544323206e-13
hidden_truncation_skewness,hidden-truncation skewness,CN,50,10,49.07755278982131,49.07755278982137,5.684341886080802e-14
hidden_truncation_skewness,hidden-truncation skewness,ESN,50,11,53.98530806880353,53.985308068803505,2.842170943040401e-14
hidden_truncation_skewness,hidden-truncation skewness,EST,50,12,58.893063347785755,58.89306334778564,1.1368683772161603e-13
hidden_truncation_skewness,hidden-truncation skewness,HT,50,8,39.26204223185706,39.262042231857095,2.2737367544323206e-13
hidden_truncation_skewness,hidden-truncation skewness,NH,50,8,39.26204223185706,39.262042231857095,2.2737367544323206e-13
nearly_gaussian,nearly Gaussian,CN,50,10,49.07755278982131,49.07755278982137,5.684341886080802e-14
nearly_gaussian,nearly Gaussian,ESN,50,11,53.98530806880353,53.985308068803505,2.842170943040401e-14
nearly_gaussian,nearly Gaussian,EST,50,12,58.893063347785755,58.89306334778564,1.1368683772161603e-13
nearly_gaussian,nearly Gaussian,HT,50,8,39.262042231857095,39.262042231857095,2.2737367544323206e-13
nearly_gaussian,nearly Gaussian,NH,50,8,39.26204223185707,39.262042231857095,2.2737367544323206e-13
skewness_heavy_tails,skewness and heavy tails,CN,50,10,49.07755278982131,49.07755278982137,5.684341886080802e-14
skewness_heavy_tails,skewness and heavy tails,ESN,50,11,53.98530806880353,53.985308068803505,2.842170943040401e-14
skewness_heavy_tails,skewness and heavy tails,EST,50,12,58.893063347785755,58.89306334778564,1.1368683772161603e-13
skewness_heavy_tails,skewness and heavy tails,HT,50,8,39.26204223185706,39.262042231857095,2.2737367544323206e-13
skewness_heavy_tails,skewness and heavy tails,NH,50,8,39.26204223185706,39.262042231857095,2.2737367544323206e-13
symmetric_heavy_tails,symmetric heavy tails,CN,50,10,49.07755278982131,49.07755278982137,5.684341886080802e-14
symmetric_heavy_tails,symmetric heavy tails,ESN,50,11,53.98530806880353,53.985308068803505,2.842170943040401e-14
symmetric_heavy_tails,symmetric heavy tails,EST,50,12,58.893063347785755,58.89306334778564,1.1368683772161603e-13
symmetric_heavy_tails,symmetric heavy tails,HT,50,8,39.26204223185706,39.262042231857095,2.2737367544323206e-13
symmetric_heavy_tails,symmetric heavy tails,NH,50,8,39.262042231857095,39.262042231857095,2.2737367544323206e-13
