scenario,scenario_label,dgp_family,fit_family,rep,n,n_selected,selection_rate,hidden_acceptance_rate,success,finite_fit,regular_convergence,convergence,message,logLik,AIC,BIC,AICc,k_params,seconds,em_iterations,raw_package_AIC,raw_package_BIC,k_package_implied,start_id,stage,all_stage1_values,criteria_source,conv_source,sigmaY_true,sigmaY_hat,sigmaY_bias,rho_true,rho_hat,rho_bias,etaS_true,etaS_hat,etaS_bias,etaY_true,etaY_hat,etaY_bias,tau_bar_true,tau_bar_hat,tau_bar_bias,alpha_legacy_true,alpha_legacy_hat,nu_true,nu_hat,nu_bias,betaSel_1_true,betaSel_1_hat,betaSel_1_bias,betaSel_2_true,betaSel_2_hat,betaSel_2_bias,betaSel_3_true,betaSel_3_hat,betaSel_3_bias,betaOut_1_true,betaOut_1_hat,betaOut_1_bias,betaOut_2_true,betaOut_2_hat,betaOut_2_bias,betaOut_3_true,betaOut_3_hat,betaOut_3_bias,BIC_minus_AIC,expected_BIC_minus_AIC,IC_gap_error,betaSel_4_true,betaSel_5_true,betaSel_6_true,betaSel_7_true,betaSel_8_true,betaSel_9_true,betaSel_10_true,betaSel_11_true,betaSel_12_true,betaSel_13_true,betaSel_14_true,betaSel_15_true,betaSel_16_true,betaSel_17_true,betaSel_18_true,betaSel_19_true,betaSel_20_true,betaSel_4_hat,betaSel_5_hat,betaSel_6_hat,betaSel_7_hat,betaSel_8_hat,betaSel_9_hat,betaSel_10_hat,betaSel_11_hat,betaSel_12_hat,betaSel_13_hat,betaSel_14_hat,betaSel_15_hat,betaSel_16_hat,betaSel_17_hat,betaSel_18_hat,betaSel_19_hat,betaSel_20_hat,betaSel_4_bias,betaSel_5_bias,betaSel_6_bias,betaSel_7_bias,betaSel_8_bias,betaSel_9_bias,betaSel_10_bias,betaSel_11_bias,betaSel_12_bias,betaSel_13_bias,betaSel_14_bias,betaSel_15_bias,betaSel_16_bias,betaSel_17_bias,betaSel_18_bias,betaSel_19_bias,betaSel_20_bias,betaOut_4_true,betaOut_5_true,betaOut_6_true,betaOut_7_true,betaOut_8_true,betaOut_9_true,betaOut_10_true,betaOut_11_true,betaOut_12_true,betaOut_13_true,betaOut_14_true,betaOut_15_true,betaOut_16_true,betaOut_17_true,betaOut_18_true,betaOut_19_true,betaOut_20_true,betaOut_4_hat,betaOut_5_hat,betaOut_6_hat,betaOut_7_hat,betaOut_8_hat,betaOut_9_hat,betaOut_10_hat,betaOut_11_hat,betaOut_12_hat,betaOut_13_hat,betaOut_14_hat,betaOut_15_hat,betaOut_16_hat,betaOut_17_hat,betaOut_18_hat,betaOut_19_hat,betaOut_20_hat,betaOut_4_bias,betaOut_5_bias,betaOut_6_bias,betaOut_7_bias,betaOut_8_bias,betaOut_9_bias,betaOut_10_bias,betaOut_11_bias,betaOut_12_bias,betaOut_13_bias,betaOut_14_bias,betaOut_15_bias,betaOut_16_bias,betaOut_17_bias,betaOut_18_bias,betaOut_19_bias,betaOut_20_bias,success_chr,success_bool,converged_regular,AIC_correct,BIC_correct,AICc_correct,raw_BIC_minus_AIC,corrected_BIC_minus_AIC,k_implied_by_raw_BIC,raw_ic_has_wrong_k,seconds_correct,etaS_near_boundary,etaY_near_boundary,tau_near_boundary
hidden_truncation_skewness,hidden-truncation skewness,ESN,NH,1,1000,343,0.343,0.6257822277847309,TRUE,TRUE,TRUE,0,NA,-1349.3362007885594,2714.6724015771188,2753.9344438089756,2714.817709347048,8,91.171,NA,2700.6724015771188,2705.580156856101,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,2.887956381294683,-0.1120436187053171,0.4,0.5349895099480477,0.1349895099480477,-0.7,NA,NA,0.7,NA,NA,0.5,NA,NA,0.5,NA,NA,NA,NA,-0.7,-1.0038793145596725,-0.3038793145596723,0.15,0.15910141436628375,0.00910141436628375,1,1.0095237682537934,0.00952376825379341,5,5.424903350411782,0.42490335041178184,1.5,1.5905753317438025,0.09057533174380228,0.8,0.8787752841667714,0.07877528416677138,39.26204223185687,39.262042231857095,-2.2737367544323206e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,2714.6724015771188,2753.9344438089756,2714.817709347048,39.26204223185687,39.26204223185687,7.999999999999954,FALSE,91.171,NA,NA,NA
hidden_truncation_skewness,hidden-truncation skewness,ESN,HT,1,1000,343,0.343,0.6257822277847309,TRUE,TRUE,TRUE,0,NA,-1349.276252844445,2716.55250568889,2760.722303199729,2716.734323870708,9,134.62300000000002,NA,2700.55250568889,2705.4602609678723,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,2.839606251104951,-0.1603937488950491,0.4,0.5377730724079954,0.1377730724079954,-0.7,NA,NA,0.7,NA,NA,0.5,NA,NA,0.5,NA,NA,NA,NA,-0.7,-1.0130625290208808,-0.31306252902088083,0.15,0.1600545873241374,0.01005458732413741,1,1.019158709835015,0.01915870983501499,5,5.414750825565789,0.4147508255657888,1.5,1.5918675035577103,0.09186750355771034,0.8,0.8814629837797856,0.08146298377978556,44.16979751083909,44.16979751083923,-1.4210854715202004e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,2716.55250568889,2760.722303199729,2716.734323870708,44.16979751083909,44.16979751083909,8.999999999999972,FALSE,134.62300000000002,NA,NA,NA
hidden_truncation_skewness,hidden-truncation skewness,ESN,CN,1,1000,343,0.343,0.6257822277847309,TRUE,TRUE,TRUE,0,NA,-1349.3322204154456,2718.664440830891,2767.7419936207125,2718.886887746968,10,589.646,NA,2700.664440830891,2705.5721961098734,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,2.8717032585146964,-0.12829674148530357,0.4,0.5354534621153457,0.1354534621153457,-0.7,NA,NA,0.7,NA,NA,0.5,NA,NA,0.5,NA,NA,NA,NA,-0.7,-1.0088292590578525,-0.3088292590578525,0.15,0.1598362326396218,0.0098362326396218,1,1.0145357861682032,0.01453578616820316,5,5.423120861182396,0.4231208611823955,1.5,1.590772802295797,0.09077280229579698,0.8,0.8790907200908605,0.07909072009086049,49.07755278982131,49.07755278982137,-5.684341886080802e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,2718.664440830891,2767.7419936207125,2718.886887746968,49.07755278982131,49.07755278982131,9.999999999999988,FALSE,589.646,NA,NA,NA
hidden_truncation_skewness,hidden-truncation skewness,ESN,ESN,1,1000,343,0.343,0.6257822277847309,TRUE,TRUE,TRUE,0,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,-1348.7956589469995,2719.591317893999,2773.5766259628026,2719.858524371732,11,14387.575,NA,NA,NA,NA,10,stage2,1349.33822265745;1349.33926355183;1349.33660477594;1349.2528851459;1349.33621679704;1348.96783041316;1349.33629050608;1349.33523893978;1349.33625447202;1348.93946501137;1349.13902692151;1349.33840269696;1349.33763155325;1349.33620044016,proposed_likelihood,stage2,3,3.1627080452491105,0.16270804524911053,0.4,0.6204752588233543,0.22047525882335428,-0.7,1.4925821305300957,2.192582130530096,0.7,0.735054251235931,0.03505425123593109,0.5,0.98315536307146,0.48315536307146,0.5,0.98315536307146,NA,NA,NA,-0.7,-1.2284808032760737,-0.5284808032760735,0.15,0.13590562479145263,-0.01409437520854736,1,0.8716345197107126,-0.1283654802892874,5,4.447637697762016,-0.5523623022379844,1.5,1.6068577889013085,0.10685778890130848,0.8,0.8757512180736459,0.07575121807364582,53.98530806880353,53.985308068803505,2.842170943040401e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,2719.591317893999,2773.5766259628026,2719.858524371732,53.98530806880353,53.98530806880353,11.000000000000005,FALSE,14387.575,TRUE,FALSE,FALSE
hidden_truncation_skewness,hidden-truncation skewness,ESN,EST,1,1000,343,0.343,0.6257822277847309,TRUE,TRUE,TRUE,0,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,-1355.5782332835424,2735.156466567085,2794.0495299148706,2735.4725759895773,12,18335.834000000003,NA,NA,NA,NA,22,stage2,1355.6626854197;1e+12;1e+12;1355.57837584306;1e+12;1e+12;1355.64148287657;1e+12;1e+12;1355.57895562205;1e+12;1e+12;1355.59871173304;1e+12;1e+12;1355.57823421273;1e+12;1e+12;1355.59151940469;1e+12;1e+12;1355.57823356889;1e+12;1e+12;1355.6787009502;1e+12;1e+12;1355.58114462954;1e+12;1e+12;1355.58840115182;1e+12;1e+12;1355.57869122368;1e+12;1e+12;1355.69046755315;1e+12;1e+12;1355.5783885685;1e+12;1e+12,proposed_likelihood,stage2,3,3.148654814306461,0.148654814306461,0.4,0.7330591088512556,0.33305910885125556,-0.7,-1.066817175384106,-0.3668171753841061,0.7,-0.4225919141576103,-1.1225919141576104,0.5,1.4925821305300957,0.9925821305300956,0.5,1.4925821305300957,NA,4,NA,-0.7,-0.7137726231093137,-0.0137726231093137,0.15,0.1438607732196163,-0.0061392267803837,1,0.9483835029337728,-0.05161649706622728,5,5.726442249494832,0.7264422494948324,1.5,1.5783416189346209,0.07834161893462088,0.8,0.9111122730798896,0.11111227307988958,58.893063347785755,58.89306334778564,1.1368683772161603e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,2735.156466567085,2794.0495299148706,2735.4725759895773,58.893063347785755,58.893063347785755,12.000000000000023,FALSE,18335.834000000003,FALSE,FALSE,TRUE
hidden_truncation_skewness,hidden-truncation skewness,ESN,NH,2,1000,359,0.359,0.6451612903225806,TRUE,TRUE,TRUE,0,NA,-1409.0045312106354,2834.0090624212708,2873.2711046531276,2834.1543701912,8,131.622,NA,2820.0090624212708,2824.916817700253,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,3.116488783265428,0.116488783265428,0.4,0.5546341891598265,0.15463418915982652,-0.7,NA,NA,0.7,NA,NA,0.5,NA,NA,0.5,NA,NA,NA,NA,-0.7,-1.000321390749343,-0.30032139074934294,0.15,0.16934928404108174,0.01934928404108174,1,1.0603821241699505,0.06038212416995026,5,5.173170694785497,0.1731706947854974,1.5,1.302263497526152,-0.197736502473848,0.8,0.8596225694068474,0.0596225694068474,39.26204223185687,39.262042231857095,-2.2737367544323206e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,2834.0090624212708,2873.2711046531276,2834.1543701912,39.26204223185687,39.26204223185687,7.999999999999954,FALSE,131.622,NA,NA,NA
hidden_truncation_skewness,hidden-truncation skewness,ESN,HT,2,1000,359,0.359,0.6451612903225806,TRUE,TRUE,TRUE,0,NA,-1409.146521952433,2836.293043904866,2880.462841415705,2836.474862086684,9,198.764,NA,2820.293043904866,2825.200799183848,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,3.094147602575359,0.09414760257535892,0.4,0.554644269370716,0.15464426937071596,-0.7,NA,NA,0.7,NA,NA,0.5,NA,NA,0.5,NA,NA,NA,NA,-0.7,-1.0034911144034857,-0.30349111440348575,0.15,0.17013858314873198,0.02013858314873198,1,1.0635285468524096,0.0635285468524096,5,5.17792802310491,0.17792802310490963,1.5,1.3066369463745489,-0.19336305362545111,0.8,0.8591119856126581,0.05911198561265807,44.16979751083909,44.16979751083923,-1.4210854715202004e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,2836.293043904866,2880.462841415705,2836.474862086684,44.16979751083909,44.16979751083909,8.999999999999972,FALSE,198.764,NA,NA,NA
hidden_truncation_skewness,hidden-truncation skewness,ESN,CN,2,1000,359,0.359,0.6451612903225806,TRUE,TRUE,TRUE,0,NA,-1409.004531373521,2838.0090627470427,2887.086615536864,2838.2315096631196,10,368.092,NA,2820.0090627470427,2824.916818026025,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,3.1164410551522845,0.11644105515228452,0.4,0.554669515025992,0.15466951502599202,-0.7,NA,NA,0.7,NA,NA,0.5,NA,NA,0.5,NA,NA,NA,NA,-0.7,-1.0003462600954238,-0.30034626009542387,0.15,0.1693521026090298,0.01935210260902981,1,1.0604106691252289,0.06041066912522885,5,5.173045719143206,0.17304571914320643,1.5,1.3022675961156898,-0.19773240388431024,0.8,0.8596253543419679,0.05962535434196781,49.07755278982131,49.07755278982137,-5.684341886080802e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,2838.009062747042,2887.0866155368635,2838.231509663119,49.07755278982131,49.07755278982131,9.999999999999988,FALSE,368.092,NA,NA,NA
hidden_truncation_skewness,hidden-truncation skewness,ESN,ESN,2,1000,359,0.359,0.6451612903225806,TRUE,TRUE,TRUE,0,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,-1408.0527470280408,2838.1054940560816,2892.090802124885,2838.3727005338146,11,17625.187,NA,NA,NA,NA,6,stage2,1408.06351185595;1408.06740980456;1408.09018693179;1408.05570199734;1408.08428489237;1408.05437564798;1408.05593653819;1408.07762681975;1408.13204957786;1408.33220424731;1408.07578109583;1408.05707305816;1408.08577540171;1409.00453087127,proposed_likelihood,stage2,3,4.193439663864621,1.1934396638646207,0.4,0.7385386422035081,0.33853864220350804,-0.7,-1.4722220918244942,-0.7722220918244942,0.7,-0.7195664244532323,-1.4195664244532322,0.5,1.3779070861564735,0.8779070861564737,0.5,1.3779070861564735,NA,NA,NA,-0.7,-0.5455599936884719,0.1544400063115281,0.15,0.13983644248207786,-0.01016355751792214,1,0.8831340894562694,-0.11686591054373063,5,6.1997498371857,1.1997498371857,1.5,1.3025466024954555,-0.1974533975045445,0.8,0.8656735843845286,0.06567358438452853,53.98530806880353,53.985308068803505,2.842170943040401e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,2838.1054940560816,2892.090802124885,2838.3727005338146,53.98530806880353,53.98530806880353,11.000000000000005,FALSE,17625.187,TRUE,FALSE,FALSE
hidden_truncation_skewness,hidden-truncation skewness,ESN,EST,2,1000,359,0.359,0.6451612903225806,TRUE,TRUE,TRUE,0,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,-1413.489631523805,2850.97926304761,2909.8723263953957,2851.2953724701024,12,18892.436,NA,NA,NA,NA,16,stage2,1413.50592594611;1e+12;1e+12;1413.48978446483;1e+12;1e+12;1413.48983362152;1e+12;1e+12;1413.49030737723;1e+12;1e+12;1413.48985263006;1e+12;1e+12;1413.48963198328;1e+12;1e+12;1413.49707612867;1e+12;1e+12;1413.48967592666;1e+12;1e+12;1413.50610006867;1e+12;1e+12;1413.50112439339;1e+12;1e+12;1413.49934607271;1e+12;1e+12;1413.48997650689;1e+12;1e+12;1413.48965298812;1e+12;1e+12;1413.4962402493;1e+12;1e+12,proposed_likelihood,stage2,3,3.995130126100959,0.9951301261009592,0.4,0.8090123971571201,0.4090123971571201,-0.7,-1.4925821305300957,-0.7925821305300957,0.7,-0.6661548471725421,-1.3661548471725422,0.5,1.4925821305300957,0.9925821305300956,0.5,1.4925821305300957,NA,4,NA,-0.7,-0.5572568496586363,0.14274315034136364,0.15,0.14812543558163457,-0.00187456441836544,1,0.9286866742479376,-0.07131332575206228,5,5.920614097205974,0.9206140972059744,1.5,1.4134790628222265,-0.08652093717777354,0.8,0.8711580073867369,0.07115800738673683,58.893063347785755,58.89306334778564,1.1368683772161603e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,2850.97926304761,2909.8723263953957,2851.2953724701024,58.893063347785755,58.893063347785755,12.000000000000023,FALSE,18892.436,TRUE,FALSE,TRUE
