scenario,scenario_label,dgp_family,fit_family,rep,n,n_selected,selection_rate,hidden_acceptance_rate,success,finite_fit,regular_convergence,convergence,message,logLik,AIC,BIC,AICc,k_params,seconds,em_iterations,raw_package_AIC,raw_package_BIC,k_package_implied,start_id,stage,all_stage1_values,criteria_source,conv_source,sigmaY_true,sigmaY_hat,sigmaY_bias,rho_true,rho_hat,rho_bias,etaS_true,etaS_hat,etaS_bias,etaY_true,etaY_hat,etaY_bias,tau_bar_true,tau_bar_hat,tau_bar_bias,alpha_legacy_true,alpha_legacy_hat,nu_true,nu_hat,nu_bias,betaSel_1_true,betaSel_1_hat,betaSel_1_bias,betaSel_2_true,betaSel_2_hat,betaSel_2_bias,betaSel_3_true,betaSel_3_hat,betaSel_3_bias,betaOut_1_true,betaOut_1_hat,betaOut_1_bias,betaOut_2_true,betaOut_2_hat,betaOut_2_bias,betaOut_3_true,betaOut_3_hat,betaOut_3_bias,BIC_minus_AIC,expected_BIC_minus_AIC,IC_gap_error,betaSel_4_true,betaSel_5_true,betaSel_6_true,betaSel_7_true,betaSel_8_true,betaSel_9_true,betaSel_10_true,betaSel_11_true,betaSel_12_true,betaSel_13_true,betaSel_14_true,betaSel_15_true,betaSel_16_true,betaSel_17_true,betaSel_18_true,betaSel_19_true,betaSel_20_true,betaSel_4_hat,betaSel_5_hat,betaSel_6_hat,betaSel_7_hat,betaSel_8_hat,betaSel_9_hat,betaSel_10_hat,betaSel_11_hat,betaSel_12_hat,betaSel_13_hat,betaSel_14_hat,betaSel_15_hat,betaSel_16_hat,betaSel_17_hat,betaSel_18_hat,betaSel_19_hat,betaSel_20_hat,betaSel_4_bias,betaSel_5_bias,betaSel_6_bias,betaSel_7_bias,betaSel_8_bias,betaSel_9_bias,betaSel_10_bias,betaSel_11_bias,betaSel_12_bias,betaSel_13_bias,betaSel_14_bias,betaSel_15_bias,betaSel_16_bias,betaSel_17_bias,betaSel_18_bias,betaSel_19_bias,betaSel_20_bias,betaOut_4_true,betaOut_5_true,betaOut_6_true,betaOut_7_true,betaOut_8_true,betaOut_9_true,betaOut_10_true,betaOut_11_true,betaOut_12_true,betaOut_13_true,betaOut_14_true,betaOut_15_true,betaOut_16_true,betaOut_17_true,betaOut_18_true,betaOut_19_true,betaOut_20_true,betaOut_4_hat,betaOut_5_hat,betaOut_6_hat,betaOut_7_hat,betaOut_8_hat,betaOut_9_hat,betaOut_10_hat,betaOut_11_hat,betaOut_12_hat,betaOut_13_hat,betaOut_14_hat,betaOut_15_hat,betaOut_16_hat,betaOut_17_hat,betaOut_18_hat,betaOut_19_hat,betaOut_20_hat,betaOut_4_bias,betaOut_5_bias,betaOut_6_bias,betaOut_7_bias,betaOut_8_bias,betaOut_9_bias,betaOut_10_bias,betaOut_11_bias,betaOut_12_bias,betaOut_13_bias,betaOut_14_bias,betaOut_15_bias,betaOut_16_bias,betaOut_17_bias,betaOut_18_bias,betaOut_19_bias,betaOut_20_bias,success_chr,success_bool,converged_regular,AIC_correct,BIC_correct,AICc_correct,raw_BIC_minus_AIC,corrected_BIC_minus_AIC,k_implied_by_raw_BIC,raw_ic_has_wrong_k,seconds_correct,etaS_near_boundary,etaY_near_boundary,tau_near_boundary
nearly_gaussian,nearly Gaussian,NH,NH,1,1000,421,0.421,NA,TRUE,TRUE,TRUE,0,NA,-1556.212211837542,3128.424423675084,3167.6864659069415,3128.5697314450135,8,68.93599999999999,NA,3114.424423675084,3119.3321789540664,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,2.985946215288885,-0.01405378471111484,0.4,0.5697083578338079,0.1697083578338079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.8169412856213911,-0.11694128562139117,0.15,0.16241116398145675,0.01241116398145675,1,1.1151701115260944,0.11517011152609435,5,5.143206982874203,0.14320698287420264,1.5,1.230470896142362,-0.26952910385763795,0.8,0.6786152175569352,-0.12138478244306485,39.26204223185732,39.262042231857095,2.2737367544323206e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,3128.424423675084,3167.6864659069415,3128.5697314450135,39.26204223185732,39.26204223185732,8.000000000000046,FALSE,68.93599999999999,NA,NA,NA
nearly_gaussian,nearly Gaussian,NH,HT,1,1000,421,0.421,NA,TRUE,TRUE,TRUE,0,NA,-1556.2347118203086,3128.469423640617,3167.7314658724745,3128.6147314105465,8,105.418,NA,3114.469423640617,3119.3771789195994,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,2.9654874562443996,-0.03451254375560042,0.4,0.570454712480326,0.17045471248032595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.819880240373926,-0.11988024037392608,0.15,0.16301039832219555,0.01301039832219555,1,1.1192074901994236,0.11920749019942356,5,5.143475487833763,0.14347548783376318,1.5,1.2318342363911161,-0.2681657636088841,0.8,0.6783924584434199,-0.12160754155658016,39.26204223185732,39.262042231857095,2.2737367544323206e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,3128.469423640617,3167.7314658724745,3128.6147314105465,39.26204223185732,39.26204223185732,8.000000000000046,FALSE,105.418,NA,NA,NA
nearly_gaussian,nearly Gaussian,NH,CN,1,1000,421,0.421,NA,TRUE,TRUE,TRUE,0,NA,-1556.2123075326308,3132.4246150652616,3181.502167855083,3132.6470619813385,10,539.2,NA,3114.4246150652616,3119.332370344244,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,2.9832575251938556,-0.01674247480614443,0.4,0.5699064478809875,0.16990644788098752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.8176700509289109,-0.11767005092891092,0.15,0.16255669969096642,0.01255669969096642,1,1.116171459175517,0.11617145917551697,5,5.142614870519187,0.14261487051918742,1.5,1.230478021536928,-0.269521978463072,0.8,0.6786302221095913,-0.1213697778904087,49.07755278982131,49.07755278982137,-5.684341886080802e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,3132.4246150652616,3181.502167855083,3132.6470619813385,49.07755278982131,49.07755278982131,9.999999999999988,FALSE,539.2,NA,NA,NA
nearly_gaussian,nearly Gaussian,NH,ESN,1,1000,421,0.421,NA,TRUE,TRUE,TRUE,0,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,-1556.168250702474,3134.3365014049477,3188.3218094737513,3134.6037078826807,11,11433.464,NA,NA,NA,NA,10,stage2,1556.20782854487;1556.17729342917;1556.21056025758;1556.17329663303;1556.21186842555;1556.17162287006;1556.17714032805;1556.21188898306;1556.21216075739;1556.16825135084;1556.2122198226;1556.17636656989;1556.2097574828;1556.21221147451,proposed_likelihood,stage2,3,3.261040984547813,0.261040984547813,0.4,0.6440761579973825,0.24407615799738247,NA,-0.8077324208838821,NA,NA,-0.2522828986493476,NA,NA,1.120867377814485,NA,NA,1.120867377814485,NA,NA,NA,-0.7,-0.541696767214085,0.15830323278591496,0.15,0.14827797898281347,-0.00172202101718652,1,1.017451720392227,0.01745172039222708,5,5.692514591922551,0.692514591922551,1.5,1.2291430803655137,-0.2708569196344863,0.8,0.6790857319331639,-0.12091426806683614,53.98530806880353,53.985308068803505,2.842170943040401e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,3134.336501404948,3188.3218094737517,3134.603707882681,53.98530806880353,53.98530806880353,11.000000000000005,FALSE,11433.464,FALSE,FALSE,FALSE
nearly_gaussian,nearly Gaussian,NH,EST,1,1000,421,0.421,NA,TRUE,TRUE,TRUE,0,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,-1562.4843001082024,3148.968600216405,3207.8616635641906,3149.2847096388973,12,16075.641,NA,NA,NA,NA,37,stage2,1562.4889728131;1e+12;1e+12;1562.4883790877;1e+12;1e+12;1562.48445065364;1e+12;1e+12;1562.48556183574;1e+12;1e+12;1562.48463517077;1e+12;1e+12;1562.4843865031;1e+12;1e+12;1562.49097020745;1e+12;1e+12;1562.48571638061;1e+12;1e+12;1562.4843018095;1e+12;1e+12;1562.48764040066;1e+12;1e+12;1562.48465806088;1e+12;1e+12;1562.4843211226;1e+12;1e+12;1562.48430123547;1e+12;1e+12;1562.48919986435;1e+12;1e+12,proposed_likelihood,stage2,3,3.6079533491720217,0.6079533491720213,0.4,0.7897114278739283,0.3897114278739283,NA,-1.4925821305300957,NA,NA,-0.5013537928695122,NA,NA,1.4925821305300957,NA,NA,1.4925821305300957,NA,4,NA,-0.7,-0.4009271307502824,0.2990728692497176,0.15,0.14416860621345784,-0.00583139378654215,1,0.9967677558597352,-0.0032322441402649,5,5.8946159656862305,0.8946159656862305,1.5,1.2415517045696582,-0.25844829543034176,0.8,0.6888138152661724,-0.11118618473382769,58.893063347785755,58.89306334778564,1.1368683772161603e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,3148.968600216405,3207.8616635641906,3149.2847096388973,58.893063347785755,58.893063347785755,12.000000000000023,FALSE,16075.641,TRUE,FALSE,TRUE
nearly_gaussian,nearly Gaussian,NH,NH,2,1000,423,0.423,NA,TRUE,TRUE,TRUE,0,NA,-1632.509536040954,3281.019072081908,3320.281114313765,3281.1643798518376,8,57.30500000000001,NA,3267.019072081908,3271.9268273608905,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,3.176968518804335,0.17696851880433506,0.4,0.4066364157842422,0.00663641578424217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.7175591192052906,-0.01755911920529063,0.15,0.17292786191379675,0.02292786191379675,1,0.9392558267821848,-0.06074417321781511,5,4.508321317943883,-0.4916786820561168,1.5,1.4604580798810745,-0.03954192011892554,0.8,0.9015464888491064,0.10154648884910622,39.26204223185687,39.262042231857095,2.2737367544323206e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,3281.019072081908,3320.281114313765,3281.164379851837,39.26204223185732,39.26204223185732,8.000000000000046,FALSE,57.30500000000001,NA,NA,NA
nearly_gaussian,nearly Gaussian,NH,HT,2,1000,423,0.423,NA,TRUE,TRUE,TRUE,0,NA,-1632.568751082739,3281.137502165478,3320.3995443973354,3281.2828099354074,8,87.58500000000001,NA,3267.137502165478,3272.0452574444603,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,3.1564861035922,0.15648610359219983,0.4,0.4079683162095949,0.00796831620959481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.7205848485150778,-0.0205848485150778,0.15,0.1735950006615012,0.02359500066150122,1,0.9431934747862196,-0.05680652521378049,5,4.510188254213901,-0.4898117457860991,1.5,1.457648796757996,-0.04235120324200414,0.8,0.9006243558402732,0.10062435584027318,39.26204223185732,39.262042231857095,2.2737367544323206e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,3281.137502165478,3320.3995443973354,3281.2828099354074,39.26204223185732,39.26204223185732,8.000000000000046,FALSE,87.58500000000001,NA,NA,NA
nearly_gaussian,nearly Gaussian,NH,CN,2,1000,423,0.423,NA,TRUE,TRUE,TRUE,0,NA,-1632.5095452053772,3285.0190904107544,3334.0966432005757,3285.2415373268313,10,459.683,NA,3267.0190904107544,3271.9268456897366,1.000000000000017,NA,HeckmanEM,NA,raw_AIC_BIC_implied_logLik,finite_logLik_no_explicit_code,3,3.176290424703559,0.17629042470355882,0.4,0.4064307843492118,0.00643078434921179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.7177040859566539,-0.01770408595665396,0.15,0.17295990514615797,0.02295990514615797,1,0.9394513982394308,-0.0605486017605692,5,4.508897919546398,-0.4911020804536017,1.5,1.4604582675940865,-0.03954173240591374,0.8,0.9015650715027902,0.10156507150279016,49.07755278982131,49.07755278982137,-5.684341886080802e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,3285.0190904107544,3334.0966432005757,3285.2415373268313,49.07755278982131,49.07755278982131,9.999999999999988,FALSE,459.683,NA,NA,NA
nearly_gaussian,nearly Gaussian,NH,ESN,2,1000,423,0.423,NA,TRUE,TRUE,TRUE,0,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,-1631.0730937367452,3284.1461874734905,3338.131495542294,3284.4133939512235,11,16283.446,NA,NA,NA,NA,11,stage2,1631.10722415366;1631.10749974744;1631.10538009841;1631.10991578232;1631.10163258793;1631.08353752897;1631.11813649138;1631.10148051052;1631.08434455642;1631.12395716996;1631.07309673257;1631.10365905575;1631.10904723572;1632.5095357036,proposed_likelihood,stage2,3,3.3211562290709455,0.32115622907094554,0.4,0.2477487313516395,-0.15225126864836053,NA,1.4925821305300957,NA,NA,-1.3080101323772286,NA,NA,0.5009829198152931,NA,NA,0.5009829198152931,NA,NA,NA,-0.7,-1.0557044373349929,-0.3557044373349929,0.15,0.14934051448193966,-6.594855180603321e-4,1,0.8182159267867,-0.18178407321330003,5,5.17632186512707,0.17632186512707015,1.5,1.4676504168372864,-0.03234958316271363,0.8,0.9103510541175568,0.11035105411755676,53.98530806880353,53.985308068803505,2.842170943040401e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,3284.1461874734905,3338.131495542294,3284.4133939512235,53.98530806880353,53.98530806880353,11.000000000000005,FALSE,16283.446,TRUE,FALSE,FALSE
nearly_gaussian,nearly Gaussian,NH,EST,2,1000,423,0.423,NA,TRUE,TRUE,TRUE,0,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,-1639.516724985271,3303.033449970542,3361.926513318327,3303.349559393034,12,18898.41,NA,NA,NA,NA,19,stage2,1639.52186457083;1e+12;1e+12;1639.51821579275;1e+12;1e+12;1639.52204106844;1e+12;1e+12;1639.5167421957;1e+12;1e+12;1639.51762378468;1e+12;1e+12;1639.51917002514;1e+12;1e+12;1639.51672724459;1e+12;1e+12;1639.52579922016;1e+12;1e+12;1639.51725208216;1e+12;1e+12;1639.51673803647;1e+12;1e+12;1639.52694053781;1e+12;1e+12;1639.51673683706;1e+12;1e+12;1639.51675376992;1e+12;1e+12;1639.51685075991;1e+12;1e+12,proposed_likelihood,stage2,3,3.618302361140479,0.6183023611404792,0.4,0.6498939125236218,0.2498939125236218,NA,-1.061496079234665,NA,NA,-0.7610836514463108,NA,NA,1.4925821305300957,NA,NA,1.4925821305300957,NA,4,NA,-0.7,-0.45909768311573584,0.2409023168842641,0.15,0.16908572513399076,0.01908572513399076,1,0.909625477028106,-0.09037452297189386,5,5.161411346300453,0.1614113463004534,1.5,1.4235214579860824,-0.07647854201391757,0.8,0.9012503901238456,0.10125039012384562,58.893063347785755,58.89306334778564,1.1368683772161603e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,TRUE,TRUE,3303.033449970542,3361.9265133183276,3303.3495593930343,58.8930633477853,58.893063347785755,11.99999999999993,FALSE,18898.41,FALSE,FALSE,TRUE
